run_accession	experiment_accession	sample_accession	library_layout	fastq_ftp	fastq_md5	fastq_bytes	read_count
SRR37513696	SRX32404278	SAMN56370215	PAIRED				0
SRR37513699	SRX32404277	SAMN56370216	PAIRED				0
SRR37513710	SRX32404274	SAMN56370219	PAIRED				0
SRR37513715	SRX32404273	SAMN56370220	PAIRED				0
SRR37513717	SRX32404273	SAMN56370220	PAIRED				0
SRR37513719	SRX32404272	SAMN56370221	PAIRED				0
SRR37513720	SRX32404272	SAMN56370221	PAIRED				0
SRR37513728	SRX32404270	SAMN56370223	PAIRED				0
SRR37513733	SRX32404269	SAMN56370224	PAIRED				0
SRR37513698	SRX32404277	SAMN56370216	PAIRED				0
SRR37513702	SRX32404276	SAMN56370217	PAIRED				0
SRR37513705	SRX32404276	SAMN56370217	PAIRED				0
SRR37513716	SRX32404273	SAMN56370220	PAIRED				0
SRR37513724	SRX32404271	SAMN56370222	PAIRED				0
SRR37513725	SRX32404271	SAMN56370222	PAIRED				0
SRR37513727	SRX32404270	SAMN56370223	PAIRED				0
SRR37513730	SRX32404269	SAMN56370224	PAIRED				0
SRR37513736	SRX32404268	SAMN56370225	PAIRED				0
SRR37513737	SRX32404268	SAMN56370225	PAIRED				0
SRR37513741	SRX32404267	SAMN56370226	PAIRED				0
SRR37513695	SRX32404278	SAMN56370215	PAIRED				0
SRR37513707	SRX32404275	SAMN56370218	PAIRED				0
SRR37513708	SRX32404275	SAMN56370218	PAIRED				0
SRR37513711	SRX32404274	SAMN56370219	PAIRED				0
SRR37513722	SRX32404271	SAMN56370222	PAIRED				0
SRR37513723	SRX32404271	SAMN56370222	PAIRED				0
SRR37513731	SRX32404269	SAMN56370224	PAIRED				0
SRR37513735	SRX32404268	SAMN56370225	PAIRED				0
SRR37513738	SRX32404267	SAMN56370226	PAIRED				0
SRR37513739	SRX32404267	SAMN56370226	PAIRED				0
SRR37513740	SRX32404267	SAMN56370226	PAIRED				0
SRR37513701	SRX32404277	SAMN56370216	PAIRED				0
SRR37513706	SRX32404275	SAMN56370218	PAIRED				0
SRR37513712	SRX32404274	SAMN56370219	PAIRED				0
SRR37513718	SRX32404272	SAMN56370221	PAIRED				0
SRR37513694	SRX32404278	SAMN56370215	PAIRED				0
SRR37513697	SRX32404278	SAMN56370215	PAIRED				0
SRR37513700	SRX32404277	SAMN56370216	PAIRED				0
SRR37513703	SRX32404276	SAMN56370217	PAIRED				0
SRR37513704	SRX32404276	SAMN56370217	PAIRED				0
SRR37513709	SRX32404275	SAMN56370218	PAIRED				0
SRR37513713	SRX32404274	SAMN56370219	PAIRED				0
SRR37513714	SRX32404273	SAMN56370220	PAIRED				0
SRR37513721	SRX32404272	SAMN56370221	PAIRED				0
SRR37513726	SRX32404270	SAMN56370223	PAIRED				0
SRR37513729	SRX32404270	SAMN56370223	PAIRED				0
SRR37513732	SRX32404269	SAMN56370224	PAIRED				0
SRR37513734	SRX32404268	SAMN56370225	PAIRED				0
