pair_id	parabricks_support	parabricks_read_ids	parabricks_status	run_accession	assembly
1810013L24Rik:Pmm2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Abca3:Nup205	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Abcc5:Oas1a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Abr:Pitpna	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Acod1:Cd86	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Acsl4:Tmem164	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Actr3:Pla2g4a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Adam8:Tyrobp	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Adprm:Emc2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Afg3l2:Cndp2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Agl:Brk1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ammecr1:Rab9	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ampd3:Hapln3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ankrd33b:Chd4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Aoah:Sirt5	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Aopep:Sdha	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Appbp2:Bcas3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Arhgap30:Csnk1g3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Arl5b:4930455G09Rik	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Arrb1:Cnot7	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Asl:Cct6a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Atp1b3:Mthfs	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Atp6v0a1:Akr1a1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Atxn7l1:Mir99ahg	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Babam2:Mrpl33	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Cacna1d:Ninj1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ccdc97:Ddrgk1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Cd36:Ppp1cb	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Cdk18:Spcs2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Chchd3:1810058I24Rik	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Chd1:Ttc27	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Clcn7:Psmb9	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Cltc:Cfl1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Copb2:Gch1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Cpq:Mdfic	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Ctcf:Lamp1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Cyb5a:2610001J05Rik	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Dcp1a:Nmd3	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Dcstamp:Degs1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Dennd4c:Fbxl4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Disp1:Mtarc2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Dnajc5:Dpep2	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Dnase2a:Kdm3b	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Dnmt3a:Ethe1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Dtx2:Fam53a	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Eif3a:Dennd10	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Emc3:Ndufa7	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Epb41l1:Dlgap4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Eprs:Exo1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Exoc1:Npm1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Fbxw11:Rtn4	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Foxo3:Copz1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Fubp1:Pgd	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
Gab2:Mapk1	0	[]	not_detected_in_200000_pair_pilot	SRR37513722	GRCm39
