pair_id	hic_contact_enrichment	hic_feature	hic_n_replicates	hic_n_bin_pairs	hic_partial_enrichment	hic_status	hic_qc_reasons	hic_assembly	hic_resolution
0610009E02Rik:Als2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
0610009L18Rik:C1qa			0	0		unavailable	no_probe_coordinates	GRCm39	500000
0610038B21Rik:Prmt9			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110004F10Rik:Gm9794			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110004F10Rik:Prdx1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110004F10Rik:Rpl19-ps11			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110004F10Rik:Rps15a-ps6			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110004F10Rik:Rps24			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110004F10Rik:Snx2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110038B12Rik:Etf1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110038B12Rik:Gpx4-ps2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110038B12Rik:Hsp90ab1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110038B12Rik:Itm2b			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110038B12Rik:Rpl23a-ps3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110038B12Rik:Rplp1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110038B12Rik:Rps12-ps4			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110038B12Rik:Sdf4			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110038B12Rik:Sp110			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110046J04Rik:Anxa1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1110059E24Rik:Rpl17-ps5			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1500011B03Rik:Gpnmb			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1500011B03Rik:Lilrb4a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1600010M07Rik:Tubb2a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1600012H06Rik:Isg15			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1600014C10Rik:Gng2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1600020E01Rik:Ube2r2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1700066M21Rik:Maip1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1700099I09Rik:Gm17160			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1700123O20Rik:Gm13394			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1700123O20Rik:Tmem256			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1810013L24Rik:Pmm2	3.203977725695765	1.889075422808494	3	1	3.203977725695765	observed_all_replicates		GRCm39	500000
1810030O07Rik:Slc31a2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1810058I24Rik:Gm8129			0	0		unavailable	no_probe_coordinates	GRCm39	500000
1810058I24Rik:Rpl38-ps2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2010013B24Rik:Gm44428			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2010315B03Rik:Aagab			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2010315B03Rik:Rsu1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2210016F16Rik:Hspa4			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2210016F16Rik:Plaur			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2210408F21Rik:Mkln1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2210412B16Rik:Tpst1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2310001H17Rik:Tbxas1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2310022A10Rik:Blvrb			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2310022A10Rik:Herc4			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2310022A10Rik:Il2rg			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2310058D17Rik:Rnf187			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2310061I04Rik:S100a11			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2410006H16Rik:Gm28438			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2410006H16Rik:Gm8186			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2410006H16Rik:Itgb2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2410006H16Rik:Lgals3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2410006H16Rik:Nsd3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2410006H16Rik:Rps4x			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2510039O18Rik:Ccl5			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2610301B20Rik:BC031181			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2610301B20Rik:Etfb			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2610301B20Rik:Rps19			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2610507I01Rik:Guk1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
2700097O09Rik:Acod1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
3110082I17Rik:Casp1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
3110082I17Rik:Vdac3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
3300002P13Rik:Cacng6			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4633401B06Rik:Abcd3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
4833415N18Rik:Lgals1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
