model_id	engine_family	protocol_id	seed	region	start_1based	end_1based	n_residues	mean_plddt	fraction_plddt_ge70	confidence_scale
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_precomputed_seed20260919	Boltz	boltz2_2.2.1_precomputed	20260919	whole_chain	1	118	118	48.70431434502036	0.0	0-100
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_precomputed_seed20260919	Boltz	boltz2_2.2.1_precomputed	20260919	retained_Gsdmd	1	73	73	51.20902983783043	0.0	0-100
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_precomputed_seed20260919	Boltz	boltz2_2.2.1_precomputed	20260919	junction_novel_tail	74	118	45	44.641109212239584	0.0	0-100
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_single_sequence_seed20260919	Boltz	boltz2_2.2.1_single_sequence	20260919	whole_chain	1	118	118	41.62140962633036	0.0	0-100
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_single_sequence_seed20260919	Boltz	boltz2_2.2.1_single_sequence	20260919	retained_Gsdmd	1	73	73	40.01296461445011	0.0	0-100
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_single_sequence_seed20260919	Boltz	boltz2_2.2.1_single_sequence	20260919	junction_novel_tail	74	118	45	44.23066486782498	0.0	0-100
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_single_sequence_seed20260920	Boltz	boltz2_2.2.1_single_sequence	20260920	whole_chain	1	118	118	41.70168687529483	0.0	0-100
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_single_sequence_seed20260920	Boltz	boltz2_2.2.1_single_sequence	20260920	retained_Gsdmd	1	73	73	39.705588484463625	0.0	0-100
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_single_sequence_seed20260920	Boltz	boltz2_2.2.1_single_sequence	20260920	junction_novel_tail	74	118	45	44.93980204264323	0.0	0-100
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_single_sequence_seed20260921	Boltz	boltz2_2.2.1_single_sequence	20260921	whole_chain	1	118	118	42.35510194099555	0.0	0-100
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_single_sequence_seed20260921	Boltz	boltz2_2.2.1_single_sequence	20260921	retained_Gsdmd	1	73	73	41.75607973908725	0.0	0-100
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_single_sequence_seed20260921	Boltz	boltz2_2.2.1_single_sequence	20260921	junction_novel_tail	74	118	45	43.3268490685357	0.0	0-100
af2_model1_ptm_seed20260919	AlphaFold2	colabfold1.5.5_af2_ptm_model1_cached_msa	20260919	whole_chain	1	118	118	65.50474576271186	0.3983050847457627	0-100
af2_model1_ptm_seed20260919	AlphaFold2	colabfold1.5.5_af2_ptm_model1_cached_msa	20260919	retained_Gsdmd	1	73	73	74.16520547945206	0.6164383561643836	0-100
af2_model1_ptm_seed20260919	AlphaFold2	colabfold1.5.5_af2_ptm_model1_cached_msa	20260919	junction_novel_tail	74	118	45	51.455555555555556	0.044444444444444446	0-100
esmfold_v1_seed20260919	ESMFold	transformers4.57.3_esmfold_v1_single_sequence	20260919	whole_chain	1	118	118	47.1925677606615	0.0	0-100
esmfold_v1_seed20260919	ESMFold	transformers4.57.3_esmfold_v1_single_sequence	20260919	retained_Gsdmd	1	73	73	52.15772623558567	0.0	0-100
esmfold_v1_seed20260919	ESMFold	transformers4.57.3_esmfold_v1_single_sequence	20260919	junction_novel_tail	74	118	45	39.137977345784506	0.0	0-100
