run_accession	experiment_accession	sample_accession	secondary_sample_accession	study_accession	scientific_name	tax_id	sample_title	experiment_title	library_strategy	library_source	library_selection	instrument_platform	instrument_model	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes	sample_attributes	availability	replicate_identity_status	ncbi_read_count	biological_sample_id	metadata_note	source_original_files
SRR31429687	SRX26798544	SAMN44848990	SRS23284698	PRJNA1188790	Bos taurus	9913	Cow Liver Rep2	PromethION sequencing: Cow Liver 2	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	PromethION	3047137	2659698424	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/087/SRR31429687/SRR31429687_1.fastq.gz	3f9716015e8915d03e1e9ba552a73bfc	2895990236				"{""BioSampleModel"": ""Model organism or animal"", ""ENA-FIRST-PUBLIC"": ""2026-03-10"", ""ENA-LAST-UPDATE"": ""2026-09-06"", ""INSDC secondary accession"": ""SRS23284698"", ""NCBI submission package"": ""Model.organism.animal.1.0"", ""age"": ""not applicable"", ""collection_date"": ""2022-08-01"", ""geo_loc_name"": ""USA: California"", ""isolate"": ""BR-314-D2/ Replicate 2"", ""organism"": ""Bos taurus"", ""sex"": ""male"", ""strain"": ""Wild type"", ""tissue"": ""Liver""}"	ENA_FASTQ_listed	source_reconciled	3047137	cow_BR-314-D2		AR69_Bovine_Liver_pass_fail.fastq.gz
SRR31429700	SRX26798531	SAMN44848978	SRS23284685	PRJNA1188790	Rattus norvegicus	10116	Rat Liver Rep2	MinION sequencing: Rat Liver 2	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	MinION	1636358	2028167569	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/000/SRR31429700/SRR31429700_1.fastq.gz	0b8c83a9e890ce29130b48a8cb95ac40	2185011777					ENA_FASTQ_listed	source_reconciled	1636358	rat_Tissue21	Supplement read totals appear swapped between AR47/48 and AR49/50; use original deposited identifiers; not counts alone.	AR47_AR48_Rat_liver_pass_fail.fastq.gz
SRR31429656	SRX26798575	SAMN44848964	SRS23284729	PRJNA1188790	Mus musculus	10090	Mouse Liver Rep1	PromethION sequencing: Mouse Liver 1	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	PromethION	5148787	6501379010	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/056/SRR31429656/SRR31429656_1.fastq.gz	db591a8f73e54afb0528eb57103fb8b5	7008079487					ENA_FASTQ_listed	source_reconciled	5148787	mouse_Tissue7		AR44_Mouse_Liver.fastq.gz
SRR31429675	SRX26798556	SAMN44849001	SRS23284710	PRJNA1188790	Canis lupus familiaris	9615	Dog Liver Rep1	PromethION sequencing: Dog Liver 1	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	PromethION	8892076	6782128352	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/075/SRR31429675/SRR31429675_1.fastq.gz	f7a6b426dc69fbd947c245c8a2c61f09	7399668674				"{""BioSampleModel"": ""Model organism or animal"", ""ENA-FIRST-PUBLIC"": ""2026-03-10"", ""ENA-LAST-UPDATE"": ""2026-09-06"", ""INSDC secondary accession"": ""SRS23284710"", ""NCBI submission package"": ""Model.organism.animal.1.0"", ""age"": ""not applicable"", ""collection_date"": ""2022-08-01"", ""geo_loc_name"": ""USA: California"", ""isolate"": ""DR-314-D1/ Replicate 1"", ""organism"": ""Canis lupus familiaris"", ""sex"": ""male"", ""strain"": ""Wild type"", ""tissue"": ""Liver""}"	ENA_FASTQ_listed	conflicting_donor_and_tissue_metadata	8892076	UNRESOLVED	Dog donor labels conflict; AR96/97 combined; AR60 appears under Testis in supplement despite liver filename. Exclude from strict replicated set.	AR96_97_Dog_Liver_pass_fail.fastq.gz
SRR31429701	SRX26798530	SAMN44848977	SRS23284684	PRJNA1188790	Rattus norvegicus	10116	Rat Liver Rep1	MinION sequencing: Rat Liver 1	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	MinION	0	0								ENA_FASTQ_unavailable_check_SRA	source_reconciled	1154734	rat_Tissue26	Supplement read totals appear swapped between AR47/48 and AR49/50; use original deposited identifiers; not counts alone.	AR49_AR50_Rat_liver_pass_fail.fastq.gz
SRR31429713	SRX26798518	SAMN44848966	SRS23284673	PRJNA1188790	Mus musculus	10090	Mouse Liver Rep3	PromethION sequencing: Mouse Liver 3	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	PromethION	3232964	4043567497	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/013/SRR31429713/SRR31429713_1.fastq.gz	7ddb4d7e4a773c07405377f9a4bfbb4e	4362575432					ENA_FASTQ_listed	source_reconciled	3232964	mouse_Tissue12		AR78_Mouse_Liver.fastq.gz
SRR31429655	SRX26798576	SAMN44848965	SRS23284730	PRJNA1188790	Mus musculus	10090	Mouse Liver Rep2	PromethION sequencing: Mouse Liver 2	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	PromethION	2995522	2976275215	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/055/SRR31429655/SRR31429655_1.fastq.gz	a1eaac673efee7c02a778bb91dbcc5c0	3230327886					ENA_FASTQ_listed	source_reconciled	2995522	mouse_Tissue6		AR75_Mouse_Liver.fastq.gz
SRR31429672	SRX26798559	SAMN44849004	SRS23284713	PRJNA1188790	Canis lupus familiaris	9615	Dog Liver Rep2	PromethION sequencing: Dog Liver 2	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	PromethION	2926819	2400266768	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/072/SRR31429672/SRR31429672_1.fastq.gz	15f24808524663f4787c39843de850a2	2616132879				"{""BioSampleModel"": ""Model organism or animal"", ""ENA-FIRST-PUBLIC"": ""2026-03-10"", ""ENA-LAST-UPDATE"": ""2026-09-06"", ""INSDC secondary accession"": ""SRS23284713"", ""NCBI submission package"": ""Model.organism.animal.1.0"", ""age"": ""not applicable"", ""collection_date"": ""2022-08-01"", ""geo_loc_name"": ""USA: California"", ""isolate"": ""DR-314-D1/ Replicate 2"", ""organism"": ""Canis lupus familiaris"", ""sex"": ""male"", ""strain"": ""Wild type"", ""tissue"": ""Liver""}"	ENA_FASTQ_listed	conflicting_donor_and_tissue_metadata	2926819	UNRESOLVED	Dog donor labels conflict; AR96/97 combined; AR60 appears under Testis in supplement despite liver filename. Exclude from strict replicated set.	AR60_Dog_Liver_pass_fail.fastq.gz
SRR31438988	SRX26807788	SAMN44862878	SRS23293091	PRJNA1188790	Homo sapiens	9606	Human Liver	PromethION sequencing: Human_Liver_R3	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	PromethION	1368477	1210927029	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/088/SRR31438988/SRR31438988_1.fastq.gz	a3acf947ead3cb41bbd7903d55d71778	1316098650				"{""BioSampleModel"": ""Human"", ""ENA-FIRST-PUBLIC"": ""2026-03-10"", ""ENA-LAST-UPDATE"": ""2026-09-06"", ""INSDC secondary accession"": ""SRS23293091"", ""NCBI submission package"": ""Human.1.0"", ""age"": ""not applicable"", ""biomaterial_provider"": ""ATR1234149-50/ Replicate 3"", ""collection_date"": ""2022-08-01"", ""geo_loc_name"": ""USA: California"", ""isolate"": ""Wild type"", ""organism"": ""Homo sapiens"", ""sex"": ""male"", ""tissue"": ""Liver""}"	ENA_FASTQ_listed	source_reconciled	1368477	human_ATR1234149-50		AR91_Human_Liver.fastq.gz
SRR31438989	SRX26807787	SAMN44862877	SRS23293090	PRJNA1188790	Homo sapiens	9606	Human Liver	PromethION sequencing: Human_Liver_R2	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	PromethION	2206634	1562330418	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/089/SRR31438989/SRR31438989_1.fastq.gz	996806b1a89c35436373f98624a75a01	1711278945				"{""BioSampleModel"": ""Human"", ""ENA-FIRST-PUBLIC"": ""2026-03-10"", ""ENA-LAST-UPDATE"": ""2026-09-06"", ""INSDC secondary accession"": ""SRS23293090"", ""NCBI submission package"": ""Human.1.0"", ""age"": ""not applicable"", ""biomaterial_provider"": ""HR-314-D1/ Replicate 2"", ""collection_date"": ""2022-08-01"", ""geo_loc_name"": ""USA: California"", ""isolate"": ""Wild type"", ""organism"": ""Homo sapiens"", ""sex"": ""male"", ""tissue"": ""Liver""}"	ENA_FASTQ_listed	source_reconciled	2206634	human_HR-314-D1		AR86_Human_Liver.fastq.gz
SRR31438990	SRX26807786	SAMN44862876	SRS23293088	PRJNA1188790	Homo sapiens	9606	Human Liver	PromethION sequencing: Human_Liver_R1_reseq	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	PromethION	3035099	2435574426	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/090/SRR31438990/SRR31438990_1.fastq.gz	64c09ac1d84e71851b46e764195fb2d3	2654522767				"{""BioSampleModel"": ""Human"", ""ENA-FIRST-PUBLIC"": ""2026-03-10"", ""ENA-LAST-UPDATE"": ""2026-09-06"", ""INSDC secondary accession"": ""SRS23293088"", ""NCBI submission package"": ""Human.1.0"", ""age"": ""not applicable"", ""biomaterial_provider"": ""C710121 / Replicate 1 re-sequenced"", ""collection_date"": ""2022-08-01"", ""geo_loc_name"": ""USA: California"", ""isolate"": ""Wild type"", ""organism"": ""Homo sapiens"", ""sex"": ""male"", ""tissue"": ""Liver""}"	ENA_FASTQ_listed	source_reconciled	3035099	human_C710121	Technical sequencing runs of the same biological donor; collapse biological replication.	AR100_Human_Liver.fastq.gz
SRR31429688	SRX26798543	SAMN44848989	SRS23284697	PRJNA1188790	Bos taurus	9913	Cow Liver Rep1	PromethION sequencing: Cow Liver 1	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	PromethION	2170813	1649915049	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/088/SRR31429688/SRR31429688_1.fastq.gz	f9b366c8d0a91543bc0ad6f8cbbc2d21	1806203691				"{""BioSampleModel"": ""Model organism or animal"", ""ENA-FIRST-PUBLIC"": ""2026-03-10"", ""ENA-LAST-UPDATE"": ""2026-09-06"", ""INSDC secondary accession"": ""SRS23284697"", ""NCBI submission package"": ""Model.organism.animal.1.0"", ""age"": ""not applicable"", ""collection_date"": ""2022-08-01"", ""geo_loc_name"": ""USA: California"", ""isolate"": ""BR-314-D1/ Replicate 1"", ""organism"": ""Bos taurus"", ""sex"": ""male"", ""strain"": ""Wild type"", ""tissue"": ""Liver""}"	ENA_FASTQ_listed	source_reconciled	2170813	cow_BR-314-D1		AR65_Bovine_Liver_pass_fail.fastq.gz
SRR31438987	SRX26807789	SAMN44862879	SRS23293092	PRJNA1188790	Homo sapiens	9606	Human Liver	PromethION sequencing: Human_Liver_R1	RNA-Seq	TRANSCRIPTOMIC	PolyA	OXFORD_NANOPORE	PromethION	563622	422727677	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/087/SRR31438987/SRR31438987_1.fastq.gz	23c8b27747ad4d9861e15415a48db8f5	461795638				"{""BioSampleModel"": ""Human"", ""ENA-FIRST-PUBLIC"": ""2026-03-10"", ""ENA-LAST-UPDATE"": ""2026-09-06"", ""INSDC secondary accession"": ""SRS23293092"", ""NCBI submission package"": ""Human.1.0"", ""age"": ""not applicable"", ""biomaterial_provider"": ""C710121 / Replicate 1"", ""collection_date"": ""2022-08-01"", ""geo_loc_name"": ""USA: California"", ""isolate"": ""Wild type"", ""organism"": ""Homo sapiens"", ""sex"": ""male"", ""tissue"": ""Liver""}"	ENA_FASTQ_listed	source_reconciled	563622	human_C710121	Technical sequencing runs of the same biological donor; collapse biological replication.	AR95_Human_Liver.fastq.gz
