Run,Experiment,LibraryName,spots,bases,avgLength,size_MB,Platform,Model,LibrarySelection,LibraryLayout,BioProject
SRR28984812,SRX24513702,GSM8260870,6835572,6405631085,937,5611,OXFORD_NANOPORE,PromethION,cDNA,SINGLE,PRJNA1109857
SRR28984811,SRX24513703,GSM8260871,3962067,3925524383,990,3431,OXFORD_NANOPORE,PromethION,cDNA,SINGLE,PRJNA1109857
SRR28984810,SRX24513704,GSM8260872,9472229,9663507960,1020,8427,OXFORD_NANOPORE,PromethION,cDNA,SINGLE,PRJNA1109857
SRR28984809,SRX24513705,GSM8260873,2295913,2123986818,925,1865,OXFORD_NANOPORE,PromethION,cDNA,SINGLE,PRJNA1109857
SRR28984808,SRX24513706,GSM8260874,4286528,4232118487,987,3701,OXFORD_NANOPORE,PromethION,cDNA,SINGLE,PRJNA1109857
SRR28984807,SRX24513707,GSM8260875,5461343,4634620084,848,4084,OXFORD_NANOPORE,PromethION,cDNA,SINGLE,PRJNA1109857
SRR28984806,SRX24513708,GSM8260876,3700424,3501894601,946,3068,OXFORD_NANOPORE,PromethION,cDNA,SINGLE,PRJNA1109857
SRR28984805,SRX24513709,GSM8260877,2238871,1966956471,878,1715,OXFORD_NANOPORE,PromethION,cDNA,SINGLE,PRJNA1109857
SRR28984804,SRX24513710,GSM8260878,8215295,8705871893,1059,7580,OXFORD_NANOPORE,PromethION,cDNA,SINGLE,PRJNA1109857
SRR28984803,SRX24513711,GSM8260879,6435611,6980970604,1084,6062,OXFORD_NANOPORE,PromethION,cDNA,SINGLE,PRJNA1109857
