method,k,candidates,known_positives,expected_supported_at_k,known_positive_recall_at_k,tie_breaking_lower_95,tie_breaking_upper_95,threshold_tie_candidates,interval_meaning
Random selection,1,378,86,0.2275132275132275,0.0026455026455026454,0.0,1.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,2,378,86,0.455026455026455,0.005291005291005291,0.0,2.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,3,378,86,0.6825396825396826,0.007936507936507936,0.0,2.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,4,378,86,0.91005291005291,0.010582010582010581,0.0,3.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,5,378,86,1.1375661375661377,0.013227513227513229,0.0,3.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,6,378,86,1.3650793650793651,0.015873015873015872,0.0,4.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,7,378,86,1.5925925925925926,0.018518518518518517,0.0,4.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,8,378,86,1.82010582010582,0.021164021164021163,0.0,4.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,9,378,86,2.0476190476190474,0.023809523809523808,0.0,5.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,10,378,86,2.2751322751322753,0.026455026455026457,0.0,5.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,11,378,86,2.502645502645503,0.029100529100529102,0.0,5.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,12,378,86,2.7301587301587302,0.031746031746031744,0.0,6.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,13,378,86,2.9576719576719577,0.03439153439153439,0.0,6.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,14,378,86,3.185185185185185,0.037037037037037035,0.0,6.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,15,378,86,3.4126984126984126,0.03968253968253968,1.0,7.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,16,378,86,3.64021164021164,0.042328042328042326,1.0,7.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,17,378,86,3.867724867724868,0.04497354497354498,1.0,7.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,18,378,86,4.095238095238095,0.047619047619047616,1.0,8.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,19,378,86,4.322751322751323,0.05026455026455026,1.0,8.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,20,378,86,4.550264550264551,0.052910052910052914,1.0,8.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,21,378,86,4.777777777777778,0.05555555555555555,1.0,9.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,22,378,86,5.005291005291006,0.058201058201058205,2.0,9.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,23,378,86,5.232804232804233,0.06084656084656084,2.0,9.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,24,378,86,5.4603174603174605,0.06349206349206349,2.0,10.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,25,378,86,5.6878306878306875,0.06613756613756613,2.0,10.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,26,378,86,5.915343915343915,0.06878306878306878,2.0,10.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,27,378,86,6.142857142857143,0.07142857142857144,2.0,10.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,28,378,86,6.37037037037037,0.07407407407407407,2.0,11.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,29,378,86,6.597883597883598,0.07671957671957673,3.0,11.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,30,378,86,6.825396825396825,0.07936507936507936,3.0,11.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,31,378,86,7.052910052910053,0.082010582010582,3.0,12.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,32,378,86,7.28042328042328,0.08465608465608465,3.0,12.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,33,378,86,7.507936507936508,0.0873015873015873,3.0,12.0,378,95% variability from random tie-breaking; not biological confidence
Random selection,34,378,86,7.735449735449736,0.08994708994708996,3.0,12.0,378,95% variability from random tie-breaking; not biological confidence
