read_alias	original_read_name	run_accession	spot_id	read_number	split_fastq_record_number	source_fastq_header
SRR28984805.117/1	e1c9fccf-b690-4e5a-a07a-6e3fc0ba3794	SRR28984805	117	1	1	@SRR28984805.117/1 original_name=e1c9fccf-b690-4e5a-a07a-6e3fc0ba3794
SRR28984805.1084/1	1d7b081f-d756-458b-878f-9325da24378b	SRR28984805	1084	1	2	@SRR28984805.1084/1 original_name=1d7b081f-d756-458b-878f-9325da24378b
SRR28984805.1652/1	9f079d24-6497-4225-b1a6-79d5552eaa1f	SRR28984805	1652	1	3	@SRR28984805.1652/1 original_name=9f079d24-6497-4225-b1a6-79d5552eaa1f
SRR28984805.2078/1	393e342c-b00a-40b4-bee5-8fc237832e2c	SRR28984805	2078	1	4	@SRR28984805.2078/1 original_name=393e342c-b00a-40b4-bee5-8fc237832e2c
SRR28984805.2087/1	f587a609-b852-4299-8014-e036cb9d8acc	SRR28984805	2087	1	5	@SRR28984805.2087/1 original_name=f587a609-b852-4299-8014-e036cb9d8acc
SRR28984805.2089/1	74d5e504-80ce-461e-9fcb-9eeebe3364f3	SRR28984805	2089	1	6	@SRR28984805.2089/1 original_name=74d5e504-80ce-461e-9fcb-9eeebe3364f3
SRR28984805.2184/1	97a88940-b1e4-4121-8c78-cdc8042fc679	SRR28984805	2184	1	7	@SRR28984805.2184/1 original_name=97a88940-b1e4-4121-8c78-cdc8042fc679
SRR28984805.2314/1	9f7bc226-1a21-43bc-827e-cde065dc5932	SRR28984805	2314	1	8	@SRR28984805.2314/1 original_name=9f7bc226-1a21-43bc-827e-cde065dc5932
SRR28984805.2653/1	89ae016b-2012-4f90-9df1-f5fc9130e604	SRR28984805	2653	1	9	@SRR28984805.2653/1 original_name=89ae016b-2012-4f90-9df1-f5fc9130e604
SRR28984805.3127/1	4a91c380-0bd6-4f98-996e-0d11e9a2a19e	SRR28984805	3127	1	10	@SRR28984805.3127/1 original_name=4a91c380-0bd6-4f98-996e-0d11e9a2a19e
SRR28984805.4032/1	5b1d5fc4-f581-4c35-bf4a-bf66468bb407	SRR28984805	4032	1	11	@SRR28984805.4032/1 original_name=5b1d5fc4-f581-4c35-bf4a-bf66468bb407
SRR28984805.4166/1	d9e5643f-2bd7-4116-b1eb-bf859121238e	SRR28984805	4166	1	12	@SRR28984805.4166/1 original_name=d9e5643f-2bd7-4116-b1eb-bf859121238e
SRR28984805.4242/1	cc5d28a9-78a3-4f54-a7b8-7c6ef6a49e92	SRR28984805	4242	1	13	@SRR28984805.4242/1 original_name=cc5d28a9-78a3-4f54-a7b8-7c6ef6a49e92
SRR28984805.4361/1	ec90ee8e-cbfa-48b4-bd49-a61f4c148bff	SRR28984805	4361	1	14	@SRR28984805.4361/1 original_name=ec90ee8e-cbfa-48b4-bd49-a61f4c148bff
SRR28984805.4375/1	257a38b6-2592-4910-a96f-80369c6f8817	SRR28984805	4375	1	15	@SRR28984805.4375/1 original_name=257a38b6-2592-4910-a96f-80369c6f8817
SRR28984805.4599/1	ca94e8bb-2557-4a9e-b20a-180104835ff5	SRR28984805	4599	1	16	@SRR28984805.4599/1 original_name=ca94e8bb-2557-4a9e-b20a-180104835ff5
SRR28984805.4975/1	1a7c29c2-4d02-4349-9fb2-18b307885e98	SRR28984805	4975	1	17	@SRR28984805.4975/1 original_name=1a7c29c2-4d02-4349-9fb2-18b307885e98
SRR28984805.5011/1	181a72dc-2d38-4ba6-85eb-b8da07f4d54c	SRR28984805	5011	1	18	@SRR28984805.5011/1 original_name=181a72dc-2d38-4ba6-85eb-b8da07f4d54c
SRR28984805.5120/1	1239defc-68d9-4c6b-a82f-ac6f9f77c13b	SRR28984805	5120	1	19	@SRR28984805.5120/1 original_name=1239defc-68d9-4c6b-a82f-ac6f9f77c13b
SRR28984805.5281/1	e9fed478-49bc-4720-ab36-c745f4af9e2a	SRR28984805	5281	1	20	@SRR28984805.5281/1 original_name=e9fed478-49bc-4720-ab36-c745f4af9e2a
SRR28984805.5539/1	31c8583b-b12c-47eb-8c90-6b6091ad367a	SRR28984805	5539	1	21	@SRR28984805.5539/1 original_name=31c8583b-b12c-47eb-8c90-6b6091ad367a
SRR28984805.5797/1	7a957195-cd1e-44af-99ed-3393fa8cfc12	SRR28984805	5797	1	22	@SRR28984805.5797/1 original_name=7a957195-cd1e-44af-99ed-3393fa8cfc12
SRR28984805.5895/1	6f24fe27-2a98-41e0-b733-4d8a624d2a7a	SRR28984805	5895	1	23	@SRR28984805.5895/1 original_name=6f24fe27-2a98-41e0-b733-4d8a624d2a7a
SRR28984805.5928/1	7b81811d-2334-4a07-9405-92c9fcc3e8be	SRR28984805	5928	1	24	@SRR28984805.5928/1 original_name=7b81811d-2334-4a07-9405-92c9fcc3e8be
SRR28984805.6194/1	49acba62-454c-4043-8314-27b56d42efca	SRR28984805	6194	1	25	@SRR28984805.6194/1 original_name=49acba62-454c-4043-8314-27b56d42efca
SRR28984805.6457/1	6b6d71c9-8139-43c7-a80b-5a06aa556327	SRR28984805	6457	1	26	@SRR28984805.6457/1 original_name=6b6d71c9-8139-43c7-a80b-5a06aa556327
SRR28984805.6518/1	656795e8-2336-4a85-aed4-acd17f473022	SRR28984805	6518	1	27	@SRR28984805.6518/1 original_name=656795e8-2336-4a85-aed4-acd17f473022
SRR28984805.6587/1	c6b0eedb-efea-4b34-ace0-2a6718a0e9f5	SRR28984805	6587	1	28	@SRR28984805.6587/1 original_name=c6b0eedb-efea-4b34-ace0-2a6718a0e9f5
SRR28984805.6595/1	e80ca803-0bb1-43bf-84d6-3c413c0518cb	SRR28984805	6595	1	29	@SRR28984805.6595/1 original_name=e80ca803-0bb1-43bf-84d6-3c413c0518cb
SRR28984805.6683/1	9787b6ac-3c10-4447-98c4-971ef3a36a56	SRR28984805	6683	1	30	@SRR28984805.6683/1 original_name=9787b6ac-3c10-4447-98c4-971ef3a36a56
SRR28984805.6860/1	225951c9-0e12-4eef-962d-f8bffee5b90a	SRR28984805	6860	1	31	@SRR28984805.6860/1 original_name=225951c9-0e12-4eef-962d-f8bffee5b90a
SRR28984805.7237/1	ffb7f7c6-2bf5-4aa4-a1b5-a77a3434f997	SRR28984805	7237	1	32	@SRR28984805.7237/1 original_name=ffb7f7c6-2bf5-4aa4-a1b5-a77a3434f997
SRR28984805.7317/1	0701f363-43eb-4188-94ba-46ed1f7d91b2	SRR28984805	7317	1	33	@SRR28984805.7317/1 original_name=0701f363-43eb-4188-94ba-46ed1f7d91b2
SRR28984805.7367/1	63efc4c5-3bb5-484b-8a6d-eeaad171e974	SRR28984805	7367	1	34	@SRR28984805.7367/1 original_name=63efc4c5-3bb5-484b-8a6d-eeaad171e974
SRR28984805.7437/1	3d87c798-29a7-4869-abc6-20139abfc799	SRR28984805	7437	1	35	@SRR28984805.7437/1 original_name=3d87c798-29a7-4869-abc6-20139abfc799
SRR28984805.7568/1	c923df2e-01ca-463e-a7ab-b61b2f020bd2	SRR28984805	7568	1	36	@SRR28984805.7568/1 original_name=c923df2e-01ca-463e-a7ab-b61b2f020bd2
SRR28984805.7893/1	9130f1ba-cb16-4d0b-ab75-e5b7ecd6a6ac	SRR28984805	7893	1	37	@SRR28984805.7893/1 original_name=9130f1ba-cb16-4d0b-ab75-e5b7ecd6a6ac
SRR28984805.8077/1	f981979b-1635-4d38-8b08-0f7ca41a190d	SRR28984805	8077	1	38	@SRR28984805.8077/1 original_name=f981979b-1635-4d38-8b08-0f7ca41a190d
SRR28984805.8346/1	75b82ff4-9d91-4e3a-a709-e50117babcd4	SRR28984805	8346	1	39	@SRR28984805.8346/1 original_name=75b82ff4-9d91-4e3a-a709-e50117babcd4
SRR28984805.8554/1	a9159f77-f56c-4364-8860-58a4ae7d0d1a	SRR28984805	8554	1	40	@SRR28984805.8554/1 original_name=a9159f77-f56c-4364-8860-58a4ae7d0d1a
SRR28984805.9370/1	8648434b-ef8d-4294-a3de-f404720f8d8c	SRR28984805	9370	1	41	@SRR28984805.9370/1 original_name=8648434b-ef8d-4294-a3de-f404720f8d8c
SRR28984805.9881/1	f113a750-0a30-49e7-854c-275773f6f468	SRR28984805	9881	1	42	@SRR28984805.9881/1 original_name=f113a750-0a30-49e7-854c-275773f6f468
SRR28984805.10066/1	480849f8-d5da-4cd8-a3f6-28d196ced065	SRR28984805	10066	1	43	@SRR28984805.10066/1 original_name=480849f8-d5da-4cd8-a3f6-28d196ced065
SRR28984805.10353/1	e169cde5-764e-48aa-9ffc-4cb7a73462ac	SRR28984805	10353	1	44	@SRR28984805.10353/1 original_name=e169cde5-764e-48aa-9ffc-4cb7a73462ac
SRR28984805.10415/1	28e93d19-f282-4d5d-b66e-bd041edf1b81	SRR28984805	10415	1	45	@SRR28984805.10415/1 original_name=28e93d19-f282-4d5d-b66e-bd041edf1b81
SRR28984805.10430/1	0a8a27ed-80dd-48b4-9cd0-d65df0cf2ef8	SRR28984805	10430	1	46	@SRR28984805.10430/1 original_name=0a8a27ed-80dd-48b4-9cd0-d65df0cf2ef8
SRR28984805.10507/1	850ca110-34f9-4142-862b-60e00189571b	SRR28984805	10507	1	47	@SRR28984805.10507/1 original_name=850ca110-34f9-4142-862b-60e00189571b
SRR28984805.10907/1	a773905b-05eb-41a9-90f8-48e6ec395d57	SRR28984805	10907	1	48	@SRR28984805.10907/1 original_name=a773905b-05eb-41a9-90f8-48e6ec395d57
SRR28984805.10927/1	4eb7ef8c-38c0-4f3d-8979-60124a05239c	SRR28984805	10927	1	49	@SRR28984805.10927/1 original_name=4eb7ef8c-38c0-4f3d-8979-60124a05239c
