peptide_id	sequence_sha256	pair_ids	role	selection_arm	category	architecture	architecture_absent_current	f_idr	inclusion_probability	length_aa	sequence_matches	mean_plddt	fraction_plddt_below_50	fraction_plddt_ge70	mean_pae_angstrom	worker	wall_seconds	protocol_id	seed	junction_window_mean_plddt	model_path
peptide_8eff60020c7b73902ec134953b2a62d02b00b5ab7ff4a38d32e5198606d13e58	8eff60020c7b73902ec134953b2a62d02b00b5ab7ff4a38d32e5198606d13e58	Slc17a5:Ifi204	sensitivity	representative_stratified_random	no_Pfam_hit		False		0.3979591836734694	36	True	54.563236236572266	0.16666666666666666	0.0	12.728265762329102	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	57.29489517211914	collected/chrna-expand-1026-1/models/protein_8eff60020c7b73902ec134953b2a62d02b00b5ab7ff4a38d32e5198606d13e58_single_sequence_seed20260919/model.cif
peptide_279eb4682b63be586634aa9492bf9e1491e7084bc839b2489272a8e071503588	279eb4682b63be586634aa9492bf9e1491e7084bc839b2489272a8e071503588	Smg1:Picalm	sensitivity	representative_stratified_random	no_Pfam_hit		False		0.3979591836734694	44	True	51.997047424316406	0.3181818181818182	0.0	14.652135848999023	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	52.94987106323242	collected/chrna-expand-1026-1/models/protein_279eb4682b63be586634aa9492bf9e1491e7084bc839b2489272a8e071503588_single_sequence_seed20260919/model.cif
control_d1ca773eed93db97c1b0ad90ac29b2f29a215e99c62c27b0cd47583a75aee905	d1ca773eed93db97c1b0ad90ac29b2f29a215e99c62c27b0cd47583a75aee905	Adam8:Tyrobp	control	matched_parent_fragment_control	parent_fragment				matched_control	48	True	62.76519775390625	0.041666666666666664	0.22916666666666666	15.739763259887695	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919		collected/chrna-expand-1026-1/models/protein_d1ca773eed93db97c1b0ad90ac29b2f29a215e99c62c27b0cd47583a75aee905_single_sequence_seed20260919/model.cif
peptide_2a1857cced467b3a75f048c0e7ebe04d1f7bd8b5a821007b674226ac9a9d0913	2a1857cced467b3a75f048c0e7ebe04d1f7bd8b5a821007b674226ac9a9d0913	Ccdc97:Ddrgk1	sensitivity	domain_diversity_enriched	no_Pfam_hit		False		not_probability_sample	54	True	49.63005065917969	0.5740740740740741	0.0	17.103315353393555	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	49.363136291503906	collected/chrna-expand-1026-1/models/protein_2a1857cced467b3a75f048c0e7ebe04d1f7bd8b5a821007b674226ac9a9d0913_single_sequence_seed20260919/model.cif
peptide_1531752d4da8305c9a01d6631626e0c93d461f729e915c43be5587dfdd58134f	1531752d4da8305c9a01d6631626e0c93d461f729e915c43be5587dfdd58134f	Babam2:Mrpl33	sensitivity	domain_diversity_enriched	junction_within_candidate_domain	PF06113.18	True		not_probability_sample	70	True	43.209327697753906	0.8571428571428571	0.0	13.770575523376465	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	48.19369125366211	collected/chrna-expand-1026-1/models/protein_1531752d4da8305c9a01d6631626e0c93d461f729e915c43be5587dfdd58134f_single_sequence_seed20260919/model.cif
peptide_cb9c6f112bf7e73c3115a629de78cb6d6d61500546b0fac73a8effbffd320b32	cb9c6f112bf7e73c3115a629de78cb6d6d61500546b0fac73a8effbffd320b32	Pgap2:Tnip3	sensitivity	representative_stratified_random	no_Pfam_hit		False		0.3979591836734694	85	True	53.29185104370117	0.4588235294117647	0.058823529411764705	20.855920791625977	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	43.40502166748047	collected/chrna-expand-1026-1/models/protein_cb9c6f112bf7e73c3115a629de78cb6d6d61500546b0fac73a8effbffd320b32_single_sequence_seed20260919/model.cif
control_8725feb95f2d712edba585e5f25a5a0cc9d97ad56554a393a06c4975a6b18179	8725feb95f2d712edba585e5f25a5a0cc9d97ad56554a393a06c4975a6b18179	Napg:Garem1	control	matched_parent_fragment_control	parent_fragment				matched_control	86	True	59.92774963378906	0.09302325581395349	0.0	8.965747833251953	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919		collected/chrna-expand-1026-1/models/protein_8725feb95f2d712edba585e5f25a5a0cc9d97ad56554a393a06c4975a6b18179_single_sequence_seed20260919/model.cif
peptide_95151af8d665ea4c4dc6df1ec8e0930dcae93c64b50fd47d9a48708f23bb32d0	95151af8d665ea4c4dc6df1ec8e0930dcae93c64b50fd47d9a48708f23bb32d0	Ms4a6d:Lair1	sensitivity	domain_diversity_enriched	junction_within_candidate_domain	PF04103.22	True		not_probability_sample	98	True	53.708797454833984	0.25510204081632654	0.0	20.515810012817383	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	54.52802276611328	collected/chrna-expand-1026-1/models/protein_95151af8d665ea4c4dc6df1ec8e0930dcae93c64b50fd47d9a48708f23bb32d0_single_sequence_seed20260919/model.cif
peptide_40250de7580d4b2f18af98463a2f39f37fb1cf9dbc0def24d1e1d4aaa9f7bec9	40250de7580d4b2f18af98463a2f39f37fb1cf9dbc0def24d1e1d4aaa9f7bec9	Slc25a39:Nup88	sensitivity	representative_stratified_random	single_domain_hit	PF00153.33	True		0.4069767441860465	109	True	39.60503005981445	1.0	0.0	18.122209548950195	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	33.59584045410156	collected/chrna-expand-1026-1/models/protein_40250de7580d4b2f18af98463a2f39f37fb1cf9dbc0def24d1e1d4aaa9f7bec9_single_sequence_seed20260919/model.cif
peptide_fcb9aa64ec20ec17c5059e6a3a9c875a8fc9e767f0bae0409f9698ab0043f990	fcb9aa64ec20ec17c5059e6a3a9c875a8fc9e767f0bae0409f9698ab0043f990	Wasl:Chchd3	sensitivity	representative_stratified_random	no_Pfam_hit		False		0.3979591836734694	111	True	50.8834114074707	0.5045045045045045	0.08108108108108109	16.744152069091797	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	42.145145416259766	collected/chrna-expand-1026-1/models/protein_fcb9aa64ec20ec17c5059e6a3a9c875a8fc9e767f0bae0409f9698ab0043f990_single_sequence_seed20260919/model.cif
peptide_059cfef0008dd945575d476e259a418e3adf12189c1620cb89b515c57ff79836	059cfef0008dd945575d476e259a418e3adf12189c1620cb89b515c57ff79836	Napg:Garem1	sensitivity	representative_stratified_random	junction_within_candidate_domain	PF14938.13	True		0.4069767441860465	116	True	50.55247497558594	0.3448275862068966	0.0	12.304093360900879	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	48.94663619995117	collected/chrna-expand-1026-1/models/protein_059cfef0008dd945575d476e259a418e3adf12189c1620cb89b515c57ff79836_single_sequence_seed20260919/model.cif
peptide_8f846e2b3a942c2214ae4055e9ca1a933f3200ce5032a833d935ce597b0e6d89	8f846e2b3a942c2214ae4055e9ca1a933f3200ce5032a833d935ce597b0e6d89	Rbks:Fam193a	sensitivity	domain_diversity_enriched	single_domain_hit	PF00294.30	True		not_probability_sample	121	True	47.70064163208008	0.6033057851239669	0.0	14.288125038146973	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	44.539329528808594	collected/chrna-expand-1026-1/models/protein_8f846e2b3a942c2214ae4055e9ca1a933f3200ce5032a833d935ce597b0e6d89_single_sequence_seed20260919/model.cif
control_8776c40679258d7e4cb75900258d6dc2c87743c0449e1152071650d8bbac2a16	8776c40679258d7e4cb75900258d6dc2c87743c0449e1152071650d8bbac2a16	Rufy3:Grsf1	control	matched_parent_fragment_control	parent_fragment				matched_control	135	True	43.316497802734375	0.7925925925925926	0.0	19.47764778137207	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919		collected/chrna-expand-1026-1/models/protein_8776c40679258d7e4cb75900258d6dc2c87743c0449e1152071650d8bbac2a16_single_sequence_seed20260919/model.cif
peptide_9f58c907edcbfc1a6787a11d94f05a13ede6c69b4d06420a911d44eec485fcf7	9f58c907edcbfc1a6787a11d94f05a13ede6c69b4d06420a911d44eec485fcf7	Dennd1a:Zglp1	sensitivity	representative_stratified_random	no_Pfam_hit		False		0.3979591836734694	136	True	30.78479766845703	1.0	0.0	20.528575897216797	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	32.59497833251953	collected/chrna-expand-1026-1/models/protein_9f58c907edcbfc1a6787a11d94f05a13ede6c69b4d06420a911d44eec485fcf7_single_sequence_seed20260919/model.cif
peptide_a28fe2ca04045f212cfe1c1ebada9314e39800f396844dd81157a7141d840a17	a28fe2ca04045f212cfe1c1ebada9314e39800f396844dd81157a7141d840a17	Wdr41:Tbca	sensitivity	domain_diversity_enriched	junction_within_candidate_domain	PF25178.1;PF02970.23	True		not_probability_sample	146	True	64.19548797607422	0.3082191780821918	0.4520547945205479	13.876291275024414	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	62.9889030456543	collected/chrna-expand-1026-1/models/protein_a28fe2ca04045f212cfe1c1ebada9314e39800f396844dd81157a7141d840a17_single_sequence_seed20260919/model.cif
peptide_24f059515d77dba3974a21e5af7e0fa1e2d41e0b2928c8c67a779fd50b0b2fa0	24f059515d77dba3974a21e5af7e0fa1e2d41e0b2928c8c67a779fd50b0b2fa0	Ptbp3:Dtnbp1	sensitivity	representative_stratified_random	no_Pfam_hit		False		0.3979591836734694	162	True	71.7787094116211	0.06790123456790123	0.6790123456790124	16.244182586669922	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	57.620994567871094	collected/chrna-expand-1026-1/models/protein_24f059515d77dba3974a21e5af7e0fa1e2d41e0b2928c8c67a779fd50b0b2fa0_single_sequence_seed20260919/model.cif
peptide_90e8e97daa8271ed00f776e7c81fa4f0ea4dc5cf6ceddaf5d7db34b554e4c921	90e8e97daa8271ed00f776e7c81fa4f0ea4dc5cf6ceddaf5d7db34b554e4c921	Ldlrad3:1700012C14Rik	sensitivity	representative_stratified_random	multiple_domain_hits	PF00057.24;PF00057.24;PF00057.24	True		0.4069767441860465	167	True	63.986663818359375	0.19760479041916168	0.39520958083832336	17.854982376098633	chrna-expand-1026-1		boltz2_2.2.1_single_sequence_batch8	20260919	45.14099884033203	collected/chrna-expand-1026-1/models/protein_90e8e97daa8271ed00f776e7c81fa4f0ea4dc5cf6ceddaf5d7db34b554e4c921_single_sequence_seed20260919/model.cif
