pair_id	chrom1	breakpoint1	strand1	chrom2	breakpoint2	strand2	read_ids	long_read_support	source_rows	assembly	sample_ids	sample_count	source_id	coordinate_basis	sequence
0610009E02Rik:Als2	chr2	26347824	+	chr1	59226608	-	1e134a7f-70d8-47ca-8ad6-0066eddfe971	1	25758	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
0610009L18Rik:C1qa	chr11	120242016	+	chr4	136625155	-	77090186-18ff-48bc-935a-cf9580de0f3f	1	26475	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
0610038B21Rik:Prmt9	chr8	78244883	+	chr8	78282293	+	3df5a0ae-9294-4b27-a919-1345d851d70b;42f3830d-c6c1-4ac7-bba7-474b01afed3b;43061b55-e779-4bc0-ade7-f4501e190c84;ac12d449-a8b4-4dd0-b80b-ed555029f7f2;c03a06d2-5a78-49f9-95f0-9f1c02af073a;e072f0ed-78b0-43dd-92d3-061b77fb6e7c;e5d35d89-f0cb-4bbc-8fba-f9c555634e91;f14288c0-23b5-4371-8e94-4fab67246b26	8	8294;8295;8296;8297;13977;29814;35063;35064	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110004F10Rik:Gm9794	chr7	115704445	+	chr6	66852727	-	3f11f61c-2221-4c32-ac16-348db4304df9	1	13429	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110004F10Rik:Prdx1	chr7	115704445	+	chr4	116544603	+	a3abccad-d187-44ab-b620-9d404073e6f3	1	19856	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110004F10Rik:Rpl19-ps11	chr7	115704445	+	chr8	19542951	+	e04557cb-6214-4d3d-987d-ac52c0cb17b3	1	13427	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110004F10Rik:Rps15a-ps6	chr7	115704445	+	chr11	6123036	-	f4a4a582-517a-4aad-8096-0c26c3c95ee7	1	13428	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110004F10Rik:Rps24	chr7	115704445	+	chr14	24540785	+	1b85e243-31af-42ed-8d2f-99425a4e2de0	1	34282	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110004F10Rik:Snx2	chr7	115704445	+	chr18	53353443	+	9987b342-aa8f-4907-96c9-f3f2863595f1	1	26090	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110038B12Rik:Etf1	chr17	35169216	-	chr18	35064725	-	0a357eb1-e6cd-44a3-aa36-c9acddb69757	1	5850	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110038B12Rik:Gpx4-ps2	chr17	35169216	-	chr10	45751400	+	b087e6cf-8752-4fd5-a170-c7722c406536	1	30578	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110038B12Rik:Hsp90ab1	chr17	35169216	-	chr17	45880313	-	811f0487-7813-42ba-af66-83001a48b119	1	5756	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110038B12Rik:Itm2b	chr17	35169216	-	chr14	73622729	-	0f6dc151-597f-4767-9b09-9e3bc4dd7bab	1	33890	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110038B12Rik:Rpl23a-ps3	chr17	35169218	-	chr14	33892611	+	1e06a286-12dd-4ecb-851a-379bf63951c9	1	9730	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110038B12Rik:Rplp1	chr17	35169218	-	chr9	61821824	-	eb825152-623f-4371-ba34-45f4a5c18b2c	1	30904	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110038B12Rik:Rps12-ps4	chr17	35169216	-	chr7	30184522	-	4ef0f258-f5fb-4abd-8511-cada98f726f4	1	15170	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110038B12Rik:Sdf4	chr17	35169218	-	chr4	156093243	+	b1c78eef-5371-4303-baef-539c1b869e5b	1	20053	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110038B12Rik:Sp110	chr17	35169218	-	chr1	85526538	-	0ca20950-c954-4f57-99fa-e54d6cc6bc0a	1	22893	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110046J04Rik:Anxa1	chr13	34144164	+	chr19	20351134	-	1713443e-6b53-492a-bb83-c28993ed02cd	1	32626	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
1110059E24Rik:Rpl17-ps5	chr19	21574675	-	chr5	22818180	-	7de2f686-88cd-4e13-9918-ad861a6fb6b8	1	13845	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
