peptide_id	sequence_sha256	pair_ids	selection_arm	status	interpretation
peptide_449cae0a7a41c88fc7f6e18fd9ce95f99e33c640608b61efeea515579ecc692e	449cae0a7a41c88fc7f6e18fd9ce95f99e33c640608b61efeea515579ecc692e	Atp2b1:Hnrnpdl	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_6d21bad7357342b91a40730ab260b972e283835118c221014c8ce2434ea443c5	6d21bad7357342b91a40730ab260b972e283835118c221014c8ce2434ea443c5	Sorl1:Mthfs	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_5ce87a94d0c2ec84e4db68fb3e63a2f35e6f28c1e49ebb84590b15157154f64d	5ce87a94d0c2ec84e4db68fb3e63a2f35e6f28c1e49ebb84590b15157154f64d	Thbs1:Slc24a3	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_0a4667057df86fd4ea6f413907452618e4c3608ea56f8d19b4b1f8bb13478b49	0a4667057df86fd4ea6f413907452618e4c3608ea56f8d19b4b1f8bb13478b49	Atp8a1:Tmem33	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_d5e9837b57e49c5f574ed6e68baed2f5d54a0d55ec3c53516073615305a1d423	d5e9837b57e49c5f574ed6e68baed2f5d54a0d55ec3c53516073615305a1d423	Vps8:2510009E07Rik	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_048fd7a08ed804ff189bda66df70cbbadef02e8a1eaeb42433f590f53acc381b	048fd7a08ed804ff189bda66df70cbbadef02e8a1eaeb42433f590f53acc381b	Kif16b:Taf4	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_02b4be3beee4d681564e4c2a1976d777a6a45b55d55b0feb536d1fed4d340985	02b4be3beee4d681564e4c2a1976d777a6a45b55d55b0feb536d1fed4d340985	Vps8:2510009E07Rik	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_4a674d763886d8fb54419e346bbe369adeac922e4aa3b9970bf2306dd33a27a3	4a674d763886d8fb54419e346bbe369adeac922e4aa3b9970bf2306dd33a27a3	Pik3ap1:Prdx1	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_77d2d36223b0a43d9f2e7cc8b685d8d1ad9fd7699ce81b2fd3bde7c605be1de9	77d2d36223b0a43d9f2e7cc8b685d8d1ad9fd7699ce81b2fd3bde7c605be1de9	Ppp2r5c:Ddx24	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_29d07d96af9cdf5a7b1f3154a0636e518c45d9f76620113c2bb2328d1a6cb510	29d07d96af9cdf5a7b1f3154a0636e518c45d9f76620113c2bb2328d1a6cb510	Rbks:Babam2	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_612e9dc28691cf25cc0e5f19ffade39d27c3975bd7b21db7a7029d53a3111b4a	612e9dc28691cf25cc0e5f19ffade39d27c3975bd7b21db7a7029d53a3111b4a	Lmf1:Srsf5	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_601854d75c60637df21491e039dd28720470343a53517beb159ad50f9860a84a	601854d75c60637df21491e039dd28720470343a53517beb159ad50f9860a84a	Lmf1:Srsf5	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_38fa67d2dd54e8e4fe991d0a70d548496383b0e95d610ea8a2c6f00f5541e046	38fa67d2dd54e8e4fe991d0a70d548496383b0e95d610ea8a2c6f00f5541e046	Pigu:Dynlrb1	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_edc37c0d1a90d480727ab022d250b0bfc512894b66f4cb47bfb6310a80462ed5	edc37c0d1a90d480727ab022d250b0bfc512894b66f4cb47bfb6310a80462ed5	Foxo3:Copz1	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_446096b5d50c4da3343de611bf6d4dbb88b8edefd71d46c34e572bc624870ff0	446096b5d50c4da3343de611bf6d4dbb88b8edefd71d46c34e572bc624870ff0	Knstrn:Ralgapa2	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_cb0f486ddf1a3924d3ea6857c132955082dd6d6f57ffe88ef9a5138ef7b9406e	cb0f486ddf1a3924d3ea6857c132955082dd6d6f57ffe88ef9a5138ef7b9406e	Notch2:Rnf115	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_cf4c94056dc4c61912d21d92a0d4cd9f85aac8889df6149dedad48e210e11b6f	cf4c94056dc4c61912d21d92a0d4cd9f85aac8889df6149dedad48e210e11b6f	Rhbdd1:Mrps9	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_bcb7bd8ee06def603006128fbef80db51d9ce471cdd28a776abe3c204694c313	bcb7bd8ee06def603006128fbef80db51d9ce471cdd28a776abe3c204694c313	Psmc3:Rnf38	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_ca8216aeff1c992979c5218d2f5fd887661cfc7fbe966211b98eac2eea950ae3	ca8216aeff1c992979c5218d2f5fd887661cfc7fbe966211b98eac2eea950ae3	Txnrd1:Ntpcr	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_e7f6afcebb2712d77cc22ed28ca35eaf3bc428e378f5c4ad66e5419d6e70865c	e7f6afcebb2712d77cc22ed28ca35eaf3bc428e378f5c4ad66e5419d6e70865c	Clcn7:Psmb9	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
peptide_9f0a204e719a1e955233e63016311863c26712a89d6b79393b94d9e0de8afd53	9f0a204e719a1e955233e63016311863c26712a89d6b79393b94d9e0de8afd53	Spast:Memo1	representative_stratified_random	not_verified_by_cutoff	Missing computation, not negative biological evidence
