species	assembly	run	read_id	caller	gene5	gene3	chrom5	chrom3	strand5	strand3	boundary5_0based	boundary3_0based	query_gap_nt	status	start5	end5	qstart5	qend5	start3	end3	qstart3	qend3	original_read_id	mapq5	aligned_nt5	mapq3	aligned_nt3	alignment_qc_pass
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1372087	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947975	106071887	-1	unvalidated_caller_evidence	27873896	27947975	5	1460	106071887	106075652	1459	2078	0c7e1ea4-ca6b-42bf-aae1-568c577eeac1	60	1389	60	601	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1534760	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947971	106071885	3	unvalidated_caller_evidence	27830896	27947971	0	1502	106071885	106075652	1505	2111	a5b53ed2-578b-4cdf-b008-c1f79cbe4788	60	1482	26	598	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1610012	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947975	106071887	-1	unvalidated_caller_evidence	27945364	27947975	14	1479	106071887	106075644	1478	2104	7a60d113-c855-491f-b996-7a5dbb3f35d9	54	1392	60	597	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1767033	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947975	106071887	5	unvalidated_caller_evidence	27946622	27947975	5	1022	106071887	106075652	1027	1663	83fd6b3a-175e-4058-83ce-4c8ac52ba41f	60	1001	60	613	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.404879	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947972	106071886	8	unvalidated_caller_evidence	27830857	27947972	19	1608	106071886	106075652	1616	2242	7d8839a9-33aa-4a26-9206-7a289f07b9c0	60	1544	60	610	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.433451	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947971	106071885	3	unvalidated_caller_evidence	27830769	27947971	0	1707	106071885	106075652	1710	2336	d5febb4c-9935-4ea6-bb39-746212f99aec	60	1642	60	615	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.642816	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947975	106071879	-9	unvalidated_caller_evidence	27947483	27947975	2	493	106071879	106075652	484	1123	13a5e095-59e6-4110-b903-1a1990e197f9	37	469	43	617	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.708113	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947975	106071886	4	unvalidated_caller_evidence	27947773	27947975	0	195	106071886	106075652	199	828	3ca8c2d3-282f-41b3-9cd4-56d0eda1e048	1	190	60	614	False
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.862987	LongGF	ENSBTAG00000071406	ENSBTAG00000076786	23	4	+	+	27947975	106071885	0	unvalidated_caller_evidence	27947477	27947975	0	497	106071885	106075652	497	1131	14395781-c09f-4518-a5ff-b15d1a2a7546	60	486	60	615	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1019982	LongGF	ENSBTAG00000074557	ENSBTAG00000000223	11	11	+	+	26360602	26643598	-3	unvalidated_caller_evidence	26360318	26360602	0	274	26643598	26670031	271	3118	abcf4a66-d9cc-4d5d-b7b7-15f5a6761aed	60	272	60	2781	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1481648	LongGF	ENSBTAG00000074557	ENSBTAG00000000223	11	11	+	+	26360599	26643608	8	unvalidated_caller_evidence	26360331	26360599	19	285	26643608	26670031	293	3142	673a7a06-7837-4f55-8957-d4fb8f7715a1	60	247	60	2758	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1550894	LongGF	ENSBTAG00000074557	ENSBTAG00000000223	11	11	+	+	26360602	26643598	-3	unvalidated_caller_evidence	26360273	26360602	1	311	26643598	26677330	308	2046	f806c3ae-7601-4f9c-81e0-0f5ef488bacf	60	307	60	1702	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.347997	LongGF	ENSBTAG00000074557	ENSBTAG00000000223	11	11	+	+	26360602	26643598	-3	unvalidated_caller_evidence	26360314	26360602	0	289	26643598	26677135	286	9154	c0ae1384-69f3-490e-ac4d-a572ee860763	60	278	60	8684	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.393671	LongGF	ENSBTAG00000074557	ENSBTAG00000000223	11	11	+	+	26360602	26643598	-3	unvalidated_caller_evidence	26360177	26360602	1	426	26643598	26670028	423	3254	de929781-ce5d-48f8-8b64-cfa42989a32d	60	413	60	2779	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1513538	LongGF	ENSBTAG00000072259	ENSBTAG00000058030	NKLS02001733.1	17	+	+	7618	71170638	13	unvalidated_caller_evidence	7135	7618	3	371	71170638	71172445	384	880	bcd55ad8-a639-4a3b-beb4-fe07122ad2f1	29	360	0	482	False
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1630667	LongGF	ENSBTAG00000072259	ENSBTAG00000058030	NKLS02001733.1	17	+	+	7633	71170635	-3	unvalidated_caller_evidence	7135	7633	2	381	71170635	71172439	378	874	7aec22b6-97ac-4806-992a-b03b887fbbf6	15	375	0	479	False
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1776464	LongGF	ENSBTAG00000072259	ENSBTAG00000058030	NKLS02001733.1	17	+	+	7634	71170638	1	unvalidated_caller_evidence	7131	7634	0	393	71170638	71172445	394	897	12bffd82-3337-4215-9ab8-2f8b16f12b90	37	377	0	490	False
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.197324	LongGF	ENSBTAG00000072259	ENSBTAG00000058030	NKLS02001733.1	17	+	+	7632	71170640	1	unvalidated_caller_evidence	7144	7632	6	384	71170640	71172443	385	882	48cf35ae-34d3-4eca-8fca-144ab0e0d22b	37	362	0	480	False
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.972221	LongGF	ENSBTAG00000072259	ENSBTAG00000058030	NKLS02001733.1	17	+	+	7633	71170633	-2	unvalidated_caller_evidence	7134	7633	2	375	71170633	71172440	373	878	95e51dbe-f7c9-48ad-ac4a-d2bb0a295209	26	370	0	495	False
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1366117	LongGF	ENSBTAG00000068150	ENSBTAG00000005273	11	11	+	+	6825833	6876058	-2	unvalidated_caller_evidence	6825560	6825833	0	268	6876058	6915251	266	5470	d55e90c6-0ee1-46df-9217-c64bd0e970d8	60	263	60	5085	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1600833	LongGF	ENSBTAG00000068150	ENSBTAG00000005273	11	11	+	+	6825832	6876058	2	unvalidated_caller_evidence	6825567	6825832	7	262	6876058	6915251	264	3817	51c04f94-3927-468e-a432-e463eff21743	60	245	60	3417	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.373214	LongGF	ENSBTAG00000068150	ENSBTAG00000005273	11	11	+	+	6825833	6876058	-2	unvalidated_caller_evidence	6825562	6825833	1	264	6876058	6915249	262	3864	ecff268c-82a6-4e8b-a8ff-8a15702d1e09	60	254	60	3534	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.472740	LongGF	ENSBTAG00000068150	ENSBTAG00000005273	11	11	+	+	6825833	6876058	-2	unvalidated_caller_evidence	6825560	6825833	0	270	6876058	6915249	268	3773	c1038f93-c042-4a5c-9cbd-f05059212259	60	262	60	3445	True
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.607733	LongGF	ENSBTAG00000068150	ENSBTAG00000005273	11	11	+	+	6825827	6876070	13	unvalidated_caller_evidence	6825529	6825827	2	295	6876070	6915249	308	3795	6a9f83d2-3aa2-4bf7-b322-d7fd06a02489	60	283	60	3420	True
