pair_id	parent_a	parent_b	parent_a_ids	parent_b_ids	parent_a_mgi_ids	parent_b_mgi_ids	parent_a_mapping	parent_b_mapping	chromosome_a	chromosome_b	species	assembly	annotation	long_read_support	sample_count	sample_count_status	is_interchromosomal	genomic_distance	in_probe_panel	label	reported_nanostring_support	short_read_reported_support	cross_reported_support	caller_names	assay_tested	assay_qc_status	exclusion_reason	source_ids	source_url
0610009E02Rik:Als2	0610009E02Rik	Als2	ENSMUSG00000086714.2	ENSMUSG00000026024.15	MGI:3698435	MGI:1921268	unique_gencode_gene	unique_gencode_gene	chr2	chr1	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x
0610009L18Rik:C1qa	0610009L18Rik	C1qa	ENSMUSG00000043644.5	ENSMUSG00000036887.6	MGI:1914088	MGI:88223	unique_gencode_gene	unique_gencode_gene	chr11	chr4	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x
0610038B21Rik:Prmt9	0610038B21Rik	Prmt9	ENSMUSG00000097882.3	ENSMUSG00000037134.18	MGI:1917595	MGI:2142651	unique_gencode_gene	unique_gencode_gene	chr8	chr8	Mus musculus	GRCm39	GENCODE M28	8		unavailable_read_to_sample_mapping	0	25499	False		False	True	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x
1110004F10Rik:Gm9794	1110004F10Rik	Gm9794	ENSMUSG00000030663.13	ENSMUSG00000107176.2	MGI:1929274	MGI:3642653	unique_gencode_gene	unique_gencode_gene	chr7	chr6	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x
1110004F10Rik:Prdx1	1110004F10Rik	Prdx1	ENSMUSG00000030663.13	ENSMUSG00000028691.13	MGI:1929274	MGI:99523	unique_gencode_gene	unique_gencode_gene	chr7	chr4	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x
1110004F10Rik:Rpl19-ps11	1110004F10Rik	Rpl19-ps11	ENSMUSG00000030663.13	ENSMUSG00000081094.5	MGI:1929274	MGI:3642193	unique_gencode_gene	unique_gencode_gene	chr7	chr8	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x
1110004F10Rik:Rps15a-ps6	1110004F10Rik	Rps15a-ps6	ENSMUSG00000030663.13	ENSMUSG00000083022.2	MGI:1929274	MGI:3650298	unique_gencode_gene	unique_gencode_gene	chr7	chr11	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x
1110004F10Rik:Rps24	1110004F10Rik	Rps24	ENSMUSG00000030663.13	ENSMUSG00000025290.18	MGI:1929274	MGI:98147	unique_gencode_gene	unique_gencode_gene	chr7	chr14	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x
1110004F10Rik:Snx2	1110004F10Rik	Snx2	ENSMUSG00000030663.13	ENSMUSG00000034484.9	MGI:1929274	MGI:1915054	unique_gencode_gene	unique_gencode_gene	chr7	chr18	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x
1110038B12Rik:Etf1	1110038B12Rik	Etf1	ENSMUSG00000092203.8	ENSMUSG00000024360.9	MGI:1916013	MGI:2385071	unique_gencode_gene	unique_gencode_gene	chr17	chr18	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x
