pair_id	parent_a	parent_b	parent_a_ids	parent_b_ids	parent_a_mgi_ids	parent_b_mgi_ids	parent_a_mapping	parent_b_mapping	chromosome_a	chromosome_b	species	assembly	annotation	long_read_support	sample_count	sample_count_status	is_interchromosomal	genomic_distance	in_probe_panel	label	reported_nanostring_support	short_read_reported_support	cross_reported_support	caller_names	assay_tested	assay_qc_status	exclusion_reason	source_ids	source_url	score_rna_refit	score_status	read_support_outside_training_range	genomic_distance_outside_training_range	rank
Gpnmb:Malsu1	Gpnmb	Malsu1	ENSMUSG00000029816.11	ENSMUSG00000029815.13	MGI:1934765	MGI:1922843	unique_gencode_gene	unique_gencode_gene	chr6	chr6	Mus musculus	GRCm39	GENCODE M28	198.0		unavailable_read_to_sample_mapping	0	2866	False		False	True	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999993459677835	exploratory_outside_selected_probe_panel_not_validated	True	False	1
Bcl2a1b:Mthfs	Bcl2a1b	Mthfs	ENSMUSG00000089929.2	ENSMUSG00000066442.18	MGI:1278326	MGI:1340032	unique_gencode_gene	unique_gencode_gene	chr9	chr9	Mus musculus	GRCm39	GENCODE M28	185.0		unavailable_read_to_sample_mapping	0	2849	False		False	True	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999991727834971	exploratory_outside_selected_probe_panel_not_validated	True	False	2
Gm10925:Gm28437	Gm10925	Gm28437	ENSMUSG00000100862.2	ENSMUSG00000101111.2	MGI:3809095	MGI:5579143	unique_gencode_gene	unique_gencode_gene	chr1	chr1	Mus musculus	GRCm39	GENCODE M28	179.0		unavailable_read_to_sample_mapping	0	3	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999988053487002	exploratory_outside_selected_probe_panel_not_validated	True	False	3
4930471E15Rik:Wdr20rt	4930471E15Rik	Wdr20rt	ENSMUSG00000113228.2	ENSMUSG00000035560.6	MGI:1922270	MGI:1918198	unique_gencode_gene	unique_gencode_gene	chr12	chr12	Mus musculus	GRCm39	GENCODE M28	133.0		unavailable_read_to_sample_mapping	0	39130	False		False	True	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999976644973464	exploratory_outside_selected_probe_panel_not_validated	True	False	4
Tpcn1:2510016D11Rik	Tpcn1	2510016D11Rik	ENSMUSG00000032741.10	ENSMUSG00000106825.2	MGI:2182472	MGI:1917539	unique_gencode_gene	unique_gencode_gene	chr5	chr5	Mus musculus	GRCm39	GENCODE M28	130.0		unavailable_read_to_sample_mapping	0	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.99999619924798	exploratory_outside_selected_probe_panel_not_validated	True	False	5
Gm15503:Rgs10	Gm15503	Rgs10	ENSMUSG00000084964.3	ENSMUSG00000030844.12	MGI:3782950	MGI:1915115	unique_gencode_gene	unique_gencode_gene	chr7	chr7	Mus musculus	GRCm39	GENCODE M28	92.0		unavailable_read_to_sample_mapping	0	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999875054726555	exploratory_outside_selected_probe_panel_not_validated	True	False	6
Pltp:Neurl2	Pltp	Neurl2	ENSMUSG00000017754.14	ENSMUSG00000039873.5	MGI:103151	MGI:3043305	unique_gencode_gene	unique_gencode_gene	chr2	chr2	Mus musculus	GRCm39	GENCODE M28	80.0		unavailable_read_to_sample_mapping	0	6062	False		False	True	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999855763088069	exploratory_outside_selected_probe_panel_not_validated	True	False	7
Batf2:Majin	Batf2	Majin	ENSMUSG00000039699.15	ENSMUSG00000024786.10	MGI:1921731	MGI:1923913	unique_gencode_gene	unique_gencode_gene	chr19	chr19	Mus musculus	GRCm39	GENCODE M28	73.0		unavailable_read_to_sample_mapping	0	11912	False		False	True	False	LongGF;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999807644701393	exploratory_outside_selected_probe_panel_not_validated	True	False	8
Gm49617:Chaf1b	Gm49617	Chaf1b	ENSMUSG00000116890.2	ENSMUSG00000022945.13	MGI:6215036	MGI:1314881	unique_gencode_gene	unique_gencode_gene	chr16	chr16	Mus musculus	GRCm39	GENCODE M28	77.0		unavailable_read_to_sample_mapping	0	0	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.9999769818952992	exploratory_outside_selected_probe_panel_not_validated	True	False	9
Igsf6:2210406H18Rik	Igsf6	2210406H18Rik	ENSMUSG00000035004.4	ENSMUSG00000109036.2	MGI:1891393	MGI:1917383	unique_gencode_gene	unique_gencode_gene	chr7	chr7	Mus musculus	GRCm39	GENCODE M28	71.0		unavailable_read_to_sample_mapping	0	108	False		False	False	False	Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28	https://www.nature.com/articles/s41586-026-10982-x	0.999974639806962	exploratory_outside_selected_probe_panel_not_validated	True	False	10
