species	assembly	run	read_id	original_read_id	caller	genion_flag	statistical_flag	gene5	gene3	chrom5	chrom3	strand5	strand3	boundary5_0based	boundary3_0based	query_gap_nt	mapq5	mapq3	aligned_nt5	aligned_nt3	qstart5	qend5	qstart3	qend3	alignment_qc_pass	caller_statistical_pass	status
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1375688	bb986920-ad32-4aab-b85e-94706c7d6d6f	Genion	PASS:RT	pFAIL	ENSBTAG00000004568	ENSBTAG00000000639	18	18	-	-	14016351	14016023	301	60	60	2259	1096	3	2317	2618	3846	True	False	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1198029	cc353a84-31d4-4831-abb5-80da5d05bf88	Genion	PASS:RT	pFAIL	ENSBTAG00000004568	ENSBTAG00000000639	18	18	-	-	14016351	14016023	333	60	60	2336	1100	10	2489	2822	3952	True	False	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.882881	047f25ef-fae5-4fec-bb2b-9fdfe5cf6b0f	Genion	PASS:GF	pPASS	ENSBTAG00000007646	ENSBTAG00000001514	X	X	+	+	128173333	128187617	131	60	60	643	1145	2	670	801	2005	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.99529	a9109122-d2de-44d4-ac46-4de12f3feed1	Genion	PASS:GF	pPASS	ENSBTAG00000007646	ENSBTAG00000001514	X	X	+	+	128173333	128177631	95	60	60	323	1376	2	480	575	1981	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.293623	adc1531c-5859-4ee4-bf71-7a437692a3ae	Genion	PASS:GF	pPASS	ENSBTAG00000007646	ENSBTAG00000001514	X	X	+	+	128168785	128187617	0	60	60	103	1200	0	108	108	1321	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.557744	3e55173f-2b5b-4488-a1e5-0e51a3b6c86b	Genion	PASS:GF	pPASS	ENSBTAG00000007646	ENSBTAG00000001514	X	X	+	+	128173333	128187617	132	60	60	170	1205	2	174	306	1537	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.574827	3361a603-44df-49f8-8069-3a1b9d6f1ba9	Genion	PASS:GF	pPASS	ENSBTAG00000007646	ENSBTAG00000001514	X	X	+	+	128169998	128187617	0	60	60	451	1203	204	669	669	1902	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.703008	a17f773c-1dbe-4082-834d-50b678420ef5	Genion	PASS:GF	pPASS	ENSBTAG00000007646	ENSBTAG00000001514	X	X	+	+	128175289	128192570	472	60	60	971	1082	0	1597	2069	3210	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1115909	8f4f0c08-c3bc-45e9-8009-e16ba9474300	Genion	PASS:GF	pPASS	ENSBTAG00000007646	ENSBTAG00000001514	X	X	+	+	128168785	128187617	0	60	60	124	1182	7	134	134	1343	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
bos_taurus	ARS-UCD2.0	SRR31429688	SRR31429688.1199079	0bcdbf09-4394-4d49-9987-d481639e51d1	Genion	PASS:GF	pPASS	ENSBTAG00000007646	ENSBTAG00000001514	X	X	+	+	128168785	128187617	0	60	60	131	1174	16	148	148	1357	True	True	observed exon-aligned boundaries; not exon-repaired; not conserved
