sequence_id	role	sequence_sha256	length_aa	pfam_accession	pfam_name	description	hmm_length	hmm_start_1based	hmm_end_1based	hmm_coverage	sequence_start_1based	sequence_end_1based	envelope_start_1based	envelope_end_1based	sequence_span_coverage	sequence_bitscore	domain_bitscore	sequence_evalue	domain_independent_evalue	domain_conditional_evalue	sequence_GA_bitscore	domain_GA_bitscore	domain_number
control_001594b905670e913e645ea91909b6dfa709729825581373325481860fbb8515	parent_control	001594b905670e913e645ea91909b6dfa709729825581373325481860fbb8515	220	PF04201.21	TPD52	Tumour protein D52 family	108	1	81	0.75	41	121	41	122	0.36818181818181817	182.0607147216797	114.08729553222656	1.0485942446787216e-55	1.408349259731214e-34	3.732027327042269e-36	25.0	25.0	1
control_001594b905670e913e645ea91909b6dfa709729825581373325481860fbb8515	parent_control	001594b905670e913e645ea91909b6dfa709729825581373325481860fbb8515	220	PF04201.21	TPD52	Tumour protein D52 family	108	59	108	0.46296296296296297	119	182	115	182	0.2909090909090909	182.0607147216797	71.61957550048828	1.0485942446787216e-55	2.233083373426352e-21	5.917515215495213e-23	25.0	25.0	2
control_00f204d97e5d0fa5951098199c808c3fea15f364cd8e1594dc26af5b61a915e1	parent_control	00f204d97e5d0fa5951098199c808c3fea15f364cd8e1594dc26af5b61a915e1	209	PF08718.17	GLTP	Glycolipid transfer protein (GLTP)	147	1	146	0.9931972789115646	18	166	18	167	0.7129186602870813	155.86192321777344	155.54254150390625	3.2803209148401503e-47	4.114932488721828e-47	6.886916299116029e-49	25.600000381469727	25.600000381469727	1
control_011cac683ab698f112355673dfc8960f01e3cc951a1f3efb1776fbc4775efd55	parent_control	011cac683ab698f112355673dfc8960f01e3cc951a1f3efb1776fbc4775efd55	838	PF01496.25	V_ATPase_I	V-type ATPase 116kDa subunit family	815	1	815	1.0	27	828	27	828	0.9570405727923628	1134.10107421875	1133.91943359375	0.0	0.0	0.0	30.700000762939453	30.700000762939453	1
control_031ca417fea4797cad76481845bc3481455b01685aa212415f7909d9f30327dc	parent_control	031ca417fea4797cad76481845bc3481455b01685aa212415f7909d9f30327dc	457	PF00017.31	SH2	SH2 domain	77	1	77	1.0	347	430	347	430	0.1838074398249453	42.936500549316406	42.01755905151367	1.494482988029749e-12	2.8925835388531683e-12	4.03428666506718e-14	21.0	21.0	1
control_034fcd077d3d56ac7994886e738ee87781835a4faed516e5c32ce6f2ce3e14d4	parent_control	034fcd077d3d56ac7994886e738ee87781835a4faed516e5c32ce6f2ce3e14d4	176	PF00595.30	PDZ	PDZ domain	81	8	51	0.5432098765432098	18	58	11	59	0.23295454545454544	32.29467010498047	30.443883895874023	3.833720304099984e-09	1.449349078056916e-08	4.042814722613434e-11	23.200000762939453	23.200000762939453	1
control_0395b1536b6918d405a38332dec8cdd458fda5af210e1ec8e74048fad7ac4cc4	parent_control	0395b1536b6918d405a38332dec8cdd458fda5af210e1ec8e74048fad7ac4cc4	1457	PF24917.1	BLTP3A_B	Bridge-like lipid transfer protein family member 3A/B	1429	1	1428	0.9993002099370188	1	1455	1	1456	0.9986273164035689	2795.292724609375	2795.121337890625	0.0	0.0	0.0	24.0	24.0	1
control_03fe05e6d2a9581bb3f099607555b1889159c45468b6cd5c2b5e29e9b87c66b0	parent_control	03fe05e6d2a9581bb3f099607555b1889159c45468b6cd5c2b5e29e9b87c66b0	282	PF00017.31	SH2	SH2 domain	77	1	77	1.0	172	255	172	255	0.2978723404255319	43.86944580078125	43.193458557128906	7.644086129381492e-13	1.2424995980259902e-12	1.732914362658285e-14	21.0	21.0	1
control_04c1b2a567d706ab88ea9e81f5436c8b634559e1d18275b53738437eb71e3b15	parent_control	04c1b2a567d706ab88ea9e81f5436c8b634559e1d18275b53738437eb71e3b15	40	PF10584.15	Proteasome_A_N	Proteasome subunit A N-terminal signature	23	1	23	1.0	8	30	8	30	0.575	56.969600677490234	56.64577865600586	4.250714053325684e-17	5.367289531511496e-17	2.2457278374525086e-19	27.700000762939453	27.700000762939453	1
control_05307a69ac9e8a99a465f7230bb2f1f333e0996076b3f0a81b4dd38f3e8d6883	parent_control	05307a69ac9e8a99a465f7230bb2f1f333e0996076b3f0a81b4dd38f3e8d6883	998	PF10408.15	Ufd2P_core	Ubiquitin elongating factor core	628	1	526	0.8375796178343949	462	982	462	983	0.5220440881763527	561.9185180664062	561.5087890625	6.870912096550274e-170	9.142101416996852e-170	5.1001960485338085e-172	20.399999618530273	20.399999618530273	1
