pair_id	chrom1	breakpoint1	strand1	chrom2	breakpoint2	strand2	read_ids	long_read_support	source_rows	assembly	sample_ids	sample_count	source_id	coordinate_basis	sequence
Abcc5:Oas1a	chr16	20223315	-	chr5	121035087	-	8848cd6e-293b-45c7-8ae4-c0f944244bfa	1	497	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Acod1:Cd86	chr14	103288961	+	chr16	36427509	-	936bb043-251d-4f50-9ddf-e0a9c96f0427	1	953	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Acp2:Renbp	chr2	91036622	+	chrX	72972946	-	51c19d4c-8e34-4afc-b280-a78921e4eff8	1	1510	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Acsl4:Tmem164	chrX	141173300	-	chrX	141535035	+	35fdd583-c5b3-4f6a-8ea8-940084059695	1	506	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Aoah:Blcap	chr13	21035348	+	chr2	157400247	-	8e540763-c1c2-48c7-a321-8add0d0d666d	1	1083	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Aoah:Sirt5	chr13	21035348	+	chr13	43548212	+	402f3aaa-d4bb-4a89-ae31-6f9d0900e671;efc9f615-26ba-4f4a-8c92-ad4e9c4a4012	2	959;1084	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Aopep:Akr1e1	chr13	63388145	+	chr13	4652796	-	f7177d32-13a7-4aea-b2f5-c530d1c0108c	1	520	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Asph:Rab2a	chr4	9635900	-	chr4	8561151	+	074e9f89-713c-4264-be07-3df535cb2258	1	532	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Atp6v0a1:Akr1a1	chr11	100902763	+	chr4	116499174	-	5f2a4ed1-eb69-42d9-ad64-e31ec6f9f1de	1	33	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Bbx:Ntan1	chr16	50252604	-	chr16	13644923	+	6294d6d3-330b-41df-a9db-3ee385c6c767	1	546	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Cacna1d:Ninj1	chr14	29787990	-	chr13	49348369	+	09e6388a-8f1f-405c-b852-2727ecb256b7	1	963	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Cd274:Lacc1	chr19	29351299	+	chr14	77268402	-	0c4c9fd2-16df-488f-aa1a-2bb0716c14cd	1	1103	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Chchd3:1810058I24Rik	chr6	32985417	-	chr6	35237344	+	8dda6b95-64ab-489f-bff5-8624e93aaf26	1	330	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Chd1:Ttc27	chr17	15927401	+	chr17	75147293	+	dae5e24f-6edb-4609-b668-288de112080e	1	331	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Clcc1:Sars	chr3	108569349	+	chr3	108334705	-	539f3094-834a-49e1-a80e-f48ebbc10d2b	1	2179	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Dhrs3:Tusc3	chr4	144645364	+	chr8	39538529	+	5ab539df-9412-40b9-9e74-115dc4f0c6cb	1	1550	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Dtx2:Fam53a	chr5	136041501	+	chr5	33758224	-	b5e1ffb1-613b-4253-9000-f08849411453	1	1125	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Ehd1:B2m	chr19	6327408	+	chr2	121982127	+	3c4b90dc-3ee4-468f-b649-e311f6118491	1	1127	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Ehd1:B2m	chr19	6350126	+	chr2	121983131	+	947f2181-6c0d-412b-ad87-cd67ff032862	1	28872	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
Epb41l1:Dlgap4	chr2	156280553	+	chr2	156602770	+	3d48c031-cbfd-4dbd-9fbd-7cb042765daa	1	1352	GRCm39			supplementary_table_3	published coordinates preserved; see audit	
