orf_id	peptide_id	parent_transcript_id	parent_control_id	pfam_accession	pfam_name	parent_domain_start_1based	parent_domain_end_1based	parent_domain_hmm_coverage	retained_aligned_span_fraction	candidate_intervals_1based_inclusive	retention_status	interpretation
orf_f7149ce97d6b631772d7c681567b62b0ac9d632da00b39f952caeb165fe58ab6	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000080322.8	control_19bc81ed86f0d012186ee5dbde8c60de0fd9f3b7a2155113d495171e85d787be	PF01909.30	NTP_transf_2	50	107	0.5698924731182796	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_f7149ce97d6b631772d7c681567b62b0ac9d632da00b39f952caeb165fe58ab6	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000080322.8	control_19bc81ed86f0d012186ee5dbde8c60de0fd9f3b7a2155113d495171e85d787be	PF10421.15	OAS1_C	165	348	0.9840425531914894	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_8a25ad481d777bd7289d2bc54188e6644f5c9bdc76f66d537cebf18dc90d2a26	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000079158.13	control_ddbeab8c698a5f20d72600fae0769f4a0c03b94ba4303ac65a1220a5de3f2f60	PF00664.29	ABC_membrane	179	446	0.9963503649635036	0.0708955223880597	[[179, 197]]	partial_parent_aligned_span	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_8a25ad481d777bd7289d2bc54188e6644f5c9bdc76f66d537cebf18dc90d2a26	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000079158.13	control_ddbeab8c698a5f20d72600fae0769f4a0c03b94ba4303ac65a1220a5de3f2f60	PF00664.29	ABC_membrane	859	1140	0.9890510948905109	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_8a25ad481d777bd7289d2bc54188e6644f5c9bdc76f66d537cebf18dc90d2a26	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000079158.13	control_ddbeab8c698a5f20d72600fae0769f4a0c03b94ba4303ac65a1220a5de3f2f60	PF00005.34	ABC_tran	579	712	0.9854014598540146	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_8a25ad481d777bd7289d2bc54188e6644f5c9bdc76f66d537cebf18dc90d2a26	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000079158.13	control_ddbeab8c698a5f20d72600fae0769f4a0c03b94ba4303ac65a1220a5de3f2f60	PF00005.34	ABC_tran	1209	1357	1.0	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_8a25ad481d777bd7289d2bc54188e6644f5c9bdc76f66d537cebf18dc90d2a26	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000080322.8	control_19bc81ed86f0d012186ee5dbde8c60de0fd9f3b7a2155113d495171e85d787be	PF01909.30	NTP_transf_2	50	107	0.5698924731182796	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_8a25ad481d777bd7289d2bc54188e6644f5c9bdc76f66d537cebf18dc90d2a26	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000080322.8	control_19bc81ed86f0d012186ee5dbde8c60de0fd9f3b7a2155113d495171e85d787be	PF10421.15	OAS1_C	165	348	0.9840425531914894	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_9142525481a1cd0db1d7e7bc59022a9bd3097ee1b1bcb8d2f2ac1b4bee0456b4	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000080322.8	control_19bc81ed86f0d012186ee5dbde8c60de0fd9f3b7a2155113d495171e85d787be	PF01909.30	NTP_transf_2	50	107	0.5698924731182796	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
orf_9142525481a1cd0db1d7e7bc59022a9bd3097ee1b1bcb8d2f2ac1b4bee0456b4	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	ENSMUST00000080322.8	control_19bc81ed86f0d012186ee5dbde8c60de0fd9f3b7a2155113d495171e85d787be	PF10421.15	OAS1_C	165	348	0.9840425531914894	0.0	[]	no_parent_aligned_span_retained	exact_canonical_sequence_overlap_not_domain_folding_or_function_validation
