species	assembly	run	read_id	caller	gene5	gene3	chrom5	chrom3	strand5	strand3	boundary5_0based	boundary3_0based	query_gap_nt	status	start5	end5	qstart5	qend5	start3	end3	qstart3	qend3	original_read_id	mapq5	aligned_nt5	mapq3	aligned_nt3	alignment_qc_pass	symbol5	symbol3	genion_flag	statistical_flag	caller_statistical_pass
homo_sapiens	GRCh38	SRR31438987	SRR31438987.225834	LongGF	ENSG00000117151	ENSG00000174021	1	1	-	-	84563247	84501968	1	unvalidated_caller_evidence	84563247	84574407	0	824	84498328	84501968	825	1186	e69dae69-bc34-47e4-ba3e-1a10c8d4df8b	60	812	60	354	True	CTBS	GNG5			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.371274	LongGF	ENSG00000117151	ENSG00000174021	1	1	-	-	84563254	84501970	-2	unvalidated_caller_evidence	84563254	84563826	25	283	84498324	84501970	281	640	eacb1d33-43e5-444b-93fa-d09607d04793	60	247	53	355	True	CTBS	GNG5			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.459810	LongGF	ENSG00000117151	ENSG00000174021	1	1	-	-	84563259	84501970	3	unvalidated_caller_evidence	84563259	84570103	0	597	84498328	84501970	600	958	1ce0ed33-9539-4f35-904e-405942ebe710	60	584	44	344	True	CTBS	GNG5			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.220736	LongGF	ENSG00000169084	ENSG00000292338	X	Y	-	-	2500816	2425302	0	unvalidated_caller_evidence	2500816	2500963	1	149	2408747	2425302	149	326	d81842f9-7c70-4292-bbee-5b9f304a6517	0	145	0	170	False	DHRSX	DHRSX			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.521606	LongGF	ENSG00000169084	ENSG00000292338	X	Y	-	-	2500816	2425307	-3	unvalidated_caller_evidence	2500816	2500949	3	136	2408757	2425307	133	300	4b4e1208-a551-4475-b05c-c93adf0d7d4c	0	132	0	164	False	DHRSX	DHRSX			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.80987	LongGF	ENSG00000169084	ENSG00000292338	X	Y	-	-	2500819	2425298	5	unvalidated_caller_evidence	2500819	2500946	0	129	2408744	2425298	134	305	6e706e2a-9454-47a4-b8ec-fa987e2f2292	0	127	0	170	False	DHRSX	DHRSX			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.38655	LongGF	ENSG00000120885	ENSG00000163631	8	4	-	+	27604322	73419506	10	unvalidated_caller_evidence	27604322	27606502	1	634	73419506	73421256	644	1010	0ddaf738-9029-455b-aa07-e81b94e8b8b1	60	619	60	350	True	CLU	ALB			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.497408	LongGF	ENSG00000119285	ENSG00000138115	1	10	-	-	236571350	95067699	-6	unvalidated_caller_evidence	236571350	236571468	1	115	95036777	95067699	109	1739	deef7e9e-d102-45b9-b47c-28b5552621bf	60	114	60	1607	True	HEATR1	CYP2C8			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.274151	LongGF	ENSG00000115414	ENSG00000163631	2	4	-	+	215372254	73420257	2	unvalidated_caller_evidence	215372254	215375295	0	288	73420257	73421256	290	512	afcae314-e802-4162-b0aa-73cf3832c978	60	282	60	219	True	FN1	ALB			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.431457	LongGF	ENSG00000168036	ENSG00000110328	3	11	+	-	41239927	11270985	0	unvalidated_caller_evidence	41239296	41239927	3	332	11270877	11270985	332	434	d40698d5-e4c7-4c5c-9f08-6f08dc72a624	60	319	60	102	True	CTNNB1	GALNT18			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.37109	LongGF	ENSG00000130208	ENSG00000106927	19	9	+	-	44916326	114060953	18	unvalidated_caller_evidence	44916183	44916326	78	218	114060128	114060953	236	405	c32022fc-b295-452d-9b0b-296f73cba7f1	60	140	60	167	True	APOC1	AMBP			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.509935	LongGF	ENSG00000106853	ENSG00000183077	9	17	-	+	111563004	78207356	7	unvalidated_caller_evidence	111563004	111563231	3	232	78207356	78207702	239	581	b166fe87-1cba-4a9b-9ab0-1de029ff98fb	60	221	60	330	True	PTGR1	AFMID			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.497284	LongGF	ENSG00000145321	ENSG00000106244	4	7	-	-	71741731	99396681	0	unvalidated_caller_evidence	71741731	71754508	32	434	99395984	99396681	434	1120	ab87fc14-357d-4f78-a54a-ed0a59bb9573	60	390	60	660	True	GC	PDAP1			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.1783	LongGF	ENSG00000057608	ENSG00000142937	10	1	-	+	5765606	44778580	0	unvalidated_caller_evidence	5765606	5765932	0	304	44778580	44778738	304	462	5e57be82-0630-4d9c-a7a8-74659e445d2f	60	304	8	155	False	GDI2	RPS8			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.333465	LongGF	ENSG00000165533	ENSG00000100722	14	14	+	+	88824822	88596731	-3	unvalidated_caller_evidence	88824699	88824822	0	122	88596731	88611888	119	784	51615ab7-82eb-4344-a466-bb685c3dd811	60	121	60	653	True	TTC8	ZC3H14			
homo_sapiens	GRCh38	SRR31438987	SRR31438987.520655	LongGF	ENSG00000178234	ENSG00000091583	7	17	+	-	152025884	66216968	-1	unvalidated_caller_evidence	152025730	152025884	2	156	66212037	66216968	155	687	e6916ebe-c9fd-4660-a4d1-9dfde6081066	60	150	60	514	True	GALNT11	APOH			
