read_id	pair_id	parent_a	chrom1	breakpoint1	strand1	parent_b	chrom2	breakpoint2	strand2	Chromosomal_Status	source_row	sample_id	assembly	source_id
a6746f7f-4d0c-4f3f-881b-4541307ea35f	4833420G17Rik:Zfp951	4833420G17Rik	chr13	119599655	+	Zfp951	chr5	104965218	-	Interchromosomal	2		GRCm39	supplementary_table_3
73224787-9639-4491-abf6-11f2f46fe2a8	4933434E20Rik:Gstm1	4933434E20Rik	chr3	89960916	+	Gstm1	chr3	107923916	-	Intrachromosomal	3		GRCm39	supplementary_table_3
e2f677f9-2877-4e13-91d5-40f008aec05b	Jpx:5530601H04Rik	Jpx	chrX	102537306	+	5530601H04Rik	chrX	104083418	-	Intrachromosomal	4		GRCm39	supplementary_table_3
8f579d7e-08b7-472e-b425-9230119df54a	Gm33251:9330182O14Rik	Gm33251	chr15	39919602	+	9330182O14Rik	chr15	40008214	+	Intrachromosomal	5		GRCm39	supplementary_table_3
f5bc7af5-0aba-4030-8c29-c2389b549649	Gm33251:9330182O14Rik	Gm33251	chr15	39919602	+	9330182O14Rik	chr15	40008214	+	Intrachromosomal	6		GRCm39	supplementary_table_3
b04807d3-5a9f-4edc-92e2-dbbe80af5596	Lst1:A630001G21Rik	Lst1	chr17	35405560	-	A630001G21Rik	chr1	85646089	-	Interchromosomal	7		GRCm39	supplementary_table_3
4e2a2546-7506-4aca-8c65-65183b38daa3	Abca3:Nek2	Abca3	chr17	24596833	+	Nek2	chr1	191561503	+	Interchromosomal	8		GRCm39	supplementary_table_3
b5b52cb2-b76d-4914-80e0-622222cd69f1	Acbd3:Wdr26	Acbd3	chr1	180562082	+	Wdr26	chr1	181005396	-	Intrachromosomal	9		GRCm39	supplementary_table_3
021a97da-4aa9-4eaf-8207-8356fb174a21	Actr8:Stk24	Actr8	chr14	29700545	+	Stk24	chr14	121575064	-	Intrachromosomal	10		GRCm39	supplementary_table_3
e2363776-3a47-480d-a613-e2770ed02bee	Taldo1:Adam8	Taldo1	chr7	140978515	+	Adam8	chr7	139559947	-	Intrachromosomal	11		GRCm39	supplementary_table_3
5c759851-f8e4-4dd9-b274-d360f6fcf723	Adgre1:Dab2	Adgre1	chr17	57788024	+	Dab2	chr15	6460434	+	Interchromosomal	12		GRCm39	supplementary_table_3
abccc364-8008-47fa-855d-8bd32b96abd2	Epc1:Adgre1	Epc1	chr18	6490462	-	Adgre1	chr17	57726321	+	Interchromosomal	13		GRCm39	supplementary_table_3
d2428c7d-aa5b-4860-99a4-13dafeebf9aa	Morc3:Adprh	Morc3	chr16	93641214	+	Adprh	chr16	38266466	-	Intrachromosomal	14		GRCm39	supplementary_table_3
971ea80c-648d-4e89-91c5-e9a4132c98ad	Adprm:Emc2	Adprm	chr11	66942506	-	Emc2	chr15	43355565	+	Interchromosomal	15		GRCm39	supplementary_table_3
b296a4d8-99e9-4b50-9286-c9eda56dc2f8	Pdxk:Agpat3	Pdxk	chr10	78300594	-	Agpat3	chr10	78123907	-	Intrachromosomal	16		GRCm39	supplementary_table_3
9860adba-3048-409b-8cf4-11a6325ada6f	Ms4a6c:Agtpbp1	Ms4a6c	chr19	11457763	+	Agtpbp1	chr13	59624952	-	Interchromosomal	17		GRCm39	supplementary_table_3
