junction_id,reference_build,gene_5p,chromosome_5p,strand_5p,boundary_5p,gene_3p,chromosome_3p,strand_3p,boundary_3p,evidence_state,biological_samples,distinct_qualifying_reads,mapping_specific_reads,mapping_specificity_unknown_reads,median_split_single_margin,median_shorter_anchor_nt,caller_agreement,callers,proposal_sources,assessed_distinct_reads,read_state_counts,rank_min,rank_max,display_rank
junction_87c9822cc904492a437bcb3879f04c5e259e90aac55654dcb9850770b4c40d43,GRCm39/GENCODE_M28,ENSMUSG00000028164.16,chr3,+,135191619,ENSMUSG00000078578.10,chr3,+,135160944,supported_two_gene_junction,1,2,2,0,562.0,211.0,1,"[""LongGF""]","[""LongGF""]",2,"{""supported_two_gene_junction"": 2, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",1,1,1
junction_0befce25c9b4c78daa3874309fa1246aa6376156a4af48d49b03d7e8f2f0319e,GRCm39/GENCODE_M28,ENSMUSG00000119584.1,chr17,+,40158667,ENSMUSG00000029816.11,chr6,+,49024692,supported_two_gene_junction,1,1,1,0,3404,1370,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",2,2,2
junction_f01850d78aa2092769b6c6a5f43bf8e9df00b4fb4de5b761621b23e593ffe211,GRCm39/GENCODE_M28,ENSMUSG00000119584.1,chr17,+,40158667,ENSMUSG00000020376.18,chr11,+,49916394,supported_two_gene_junction,1,1,1,0,2871,1127,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",3,3,3
junction_8b7451bd5aae24801ed5485bd891d105bd2248c409448aa1c2d47d44a39418f5,GRCm39/GENCODE_M28,ENSMUSG00000024050.19,chr17,-,32586796,ENSMUSG00000031875.8,chr8,+,105070388,supported_two_gene_junction,1,1,1,0,2821,1055,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",4,4,4
junction_34aa6d3b8289992e6eba253cd1bf12b28b9a5ebecdc07b9e1b78662d01d51d49,GRCm39/GENCODE_M28,ENSMUSG00000016256.11,chr2,-,174269311,ENSMUSG00000019478.18,chr8,+,124555747,supported_two_gene_junction,1,1,1,0,2697,992,1,"[""LongGF""]","[""LongGF""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",5,5,5
junction_f41d32e06175f42391ed715431e67ef632656986633bc8026f2f11e4640889f1,GRCm39/GENCODE_M28,ENSMUSG00000119584.1,chr17,+,40158370,ENSMUSG00000069516.9,chr10,-,117114627,supported_two_gene_junction,1,1,1,0,2441,912,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",6,6,6
junction_b47cbad08e69a84d30484d6b36b7f6e4a1f7dba62fc663004927c135e75bde7a,GRCm39/GENCODE_M28,ENSMUSG00000027678.18,chr2,+,165897557,ENSMUSG00000014859.10,chr8,+,106030814,supported_two_gene_junction,1,1,1,0,2227,829,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",7,7,7
junction_eeba0e7a2aa9a50d81805cc2b0e4be3393ce08d1fde0c2f86c7cfe7a4a3091bc,GRCm39/GENCODE_M28,ENSMUSG00000044768.17,chr1,-,97573593,ENSMUSG00000026335.17,chr1,-,97987176,supported_two_gene_junction,1,1,1,0,2126,683,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",8,8,8
junction_3b7632d3dd22cc4381d6da68f952497023a12bcd4af8124c67753ff99a297ddf,GRCm39/GENCODE_M28,ENSMUSG00000028793.16,chr4,+,128978184,ENSMUSG00000028692.15,chr4,-,116499161,supported_two_gene_junction,1,1,1,0,2071,780,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",9,9,9
junction_66713d0f63dd99f4eebc90d2a3b283234c3d5104b80778c6b5bf59f27846ed35,GRCm39/GENCODE_M28,ENSMUSG00000119584.1,chr17,+,40158086,ENSMUSG00000050335.18,chr14,+,47617691,supported_two_gene_junction,1,1,1,0,1905,695,0,[],"[""alignment_scan""]",1,"{""supported_two_gene_junction"": 1, ""ambiguous_single_vs_split"": 0, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",10,10,10
