probe_id	pair_id	side	transcript_id	gene_id	chrom	breakpoint	strand	reference
1810013L24Rik:Pmm2	1810013L24Rik:Pmm2	a	ENSMUST00000023150.7	ENSMUSG00000022507.7	chr16	8649265	+	GENCODE M28 / GRCm39
1810013L24Rik:Pmm2	1810013L24Rik:Pmm2	a	ENSMUST00000229318.2	ENSMUSG00000022507.7	chr16	8649265	+	GENCODE M28 / GRCm39
1810013L24Rik:Pmm2	1810013L24Rik:Pmm2	b	ENSMUST00000023396.10	ENSMUSG00000022711.17	chr16	8469274	+	GENCODE M28 / GRCm39
1810013L24Rik:Pmm2	1810013L24Rik:Pmm2	b	ENSMUST00000230828.2	ENSMUSG00000022711.17	chr16	8469274	+	GENCODE M28 / GRCm39
1810013L24Rik:Pmm2	1810013L24Rik:Pmm2	b	ENSMUST00000131385.2	ENSMUSG00000022711.17	chr16	8469274	+	GENCODE M28 / GRCm39
Abca3:Nup205	Abca3:Nup205	a	ENSMUST00000133816.8	ENSMUSG00000024130.17	chr17	24580063	+	GENCODE M28 / GRCm39
Abca3:Nup205	Abca3:Nup205	a	ENSMUST00000039013.15	ENSMUSG00000024130.17	chr17	24580063	+	GENCODE M28 / GRCm39
Abca3:Nup205	Abca3:Nup205	a	ENSMUST00000079594.12	ENSMUSG00000024130.17	chr17	24580063	+	GENCODE M28 / GRCm39
Abca3:Nup205	Abca3:Nup205	a	ENSMUST00000234109.2	ENSMUSG00000024130.17	chr17	24580063	+	GENCODE M28 / GRCm39
Abca3:Nup205	Abca3:Nup205	a	ENSMUST00000149233.8	ENSMUSG00000024130.17	chr17	24580063	+	GENCODE M28 / GRCm39
Abca3:Nup205	Abca3:Nup205	a	ENSMUST00000148557.8	ENSMUSG00000024130.17	chr17	24580063	+	GENCODE M28 / GRCm39
Abca3:Nup205	Abca3:Nup205	a	ENSMUST00000136295.2	ENSMUSG00000024130.17	chr17	24580063	+	GENCODE M28 / GRCm39
Abca3:Nup205	Abca3:Nup205	b	ENSMUST00000201374.4	ENSMUSG00000038759.16	chr6	35204600	+	GENCODE M28 / GRCm39
Abca3:Nup205	Abca3:Nup205	b	ENSMUST00000043815.16	ENSMUSG00000038759.16	chr6	35204600	+	GENCODE M28 / GRCm39
Abca3:Nup205	Abca3:Nup205	b	ENSMUST00000201609.4	ENSMUSG00000038759.16	chr6	35204600	+	GENCODE M28 / GRCm39
Abca3:Nup205	Abca3:Nup205	b	ENSMUST00000201842.2	ENSMUSG00000038759.16	chr6	35204600	+	GENCODE M28 / GRCm39
Abcc5:Oas1a	Abcc5:Oas1a	a	ENSMUST00000079158.13	ENSMUSG00000022822.17	chr16	20223316	-	GENCODE M28 / GRCm39
Abcc5:Oas1a	Abcc5:Oas1a	a	ENSMUST00000115547.9	ENSMUSG00000022822.17	chr16	20223316	-	GENCODE M28 / GRCm39
Abcc5:Oas1a	Abcc5:Oas1a	a	ENSMUST00000077867.10	ENSMUSG00000022822.17	chr16	20223316	-	GENCODE M28 / GRCm39
Abcc5:Oas1a	Abcc5:Oas1a	a	ENSMUST00000134962.2	ENSMUSG00000022822.17	chr16	20223316	-	GENCODE M28 / GRCm39
Abcc5:Oas1a	Abcc5:Oas1a	a	ENSMUST00000096199.5	ENSMUSG00000022822.17	chr16	20223316	-	GENCODE M28 / GRCm39
Abcc5:Oas1a	Abcc5:Oas1a	b	ENSMUST00000080322.8	ENSMUSG00000052776.11	chr5	121035087	-	GENCODE M28 / GRCm39
Abr:Pitpna	Abr:Pitpna	a	ENSMUST00000094012.11	ENSMUSG00000017631.20	chr11	76342679	-	GENCODE M28 / GRCm39
Abr:Pitpna	Abr:Pitpna	a	ENSMUST00000072740.13	ENSMUSG00000017631.20	chr11	76342679	-	GENCODE M28 / GRCm39
Abr:Pitpna	Abr:Pitpna	a	ENSMUST00000238684.2	ENSMUSG00000017631.20	chr11	76342679	-	GENCODE M28 / GRCm39
Abr:Pitpna	Abr:Pitpna	a	ENSMUST00000108407.10	ENSMUSG00000017631.20	chr11	76342679	-	GENCODE M28 / GRCm39
Abr:Pitpna	Abr:Pitpna	a	ENSMUST00000065028.14	ENSMUSG00000017631.20	chr11	76342679	-	GENCODE M28 / GRCm39
Abr:Pitpna	Abr:Pitpna	a	ENSMUST00000108408.9	ENSMUSG00000017631.20	chr11	76342679	-	GENCODE M28 / GRCm39
Abr:Pitpna	Abr:Pitpna	b	ENSMUST00000143219.8	ENSMUSG00000017781.18	chr11	75510066	+	GENCODE M28 / GRCm39
Abr:Pitpna	Abr:Pitpna	b	ENSMUST00000179521.8	ENSMUSG00000017781.18	chr11	75510066	+	GENCODE M28 / GRCm39
Abr:Pitpna	Abr:Pitpna	b	ENSMUST00000179445.8	ENSMUSG00000017781.18	chr11	75510066	+	GENCODE M28 / GRCm39
Abr:Pitpna	Abr:Pitpna	b	ENSMUST00000102509.11	ENSMUSG00000017781.18	chr11	75510066	+	GENCODE M28 / GRCm39
Acod1:Cd86	Acod1:Cd86	a	ENSMUST00000022722.7	ENSMUSG00000022126.7	chr14	103288961	+	GENCODE M28 / GRCm39
Acod1:Cd86	Acod1:Cd86	b	ENSMUST00000089620.11	ENSMUSG00000022901.14	chr16	36427509	-	GENCODE M28 / GRCm39
Acsl4:Tmem164	Acsl4:Tmem164	a	ENSMUST00000112904.8	ENSMUSG00000031278.13	chrX	141173301	-	GENCODE M28 / GRCm39
Acsl4:Tmem164	Acsl4:Tmem164	a	ENSMUST00000112903.8	ENSMUSG00000031278.13	chrX	141173301	-	GENCODE M28 / GRCm39
Acsl4:Tmem164	Acsl4:Tmem164	a	ENSMUST00000033634.5	ENSMUSG00000031278.13	chrX	141173301	-	GENCODE M28 / GRCm39
Acsl4:Tmem164	Acsl4:Tmem164	b	ENSMUST00000112889.8	ENSMUSG00000047045.18	chrX	141535036	+	GENCODE M28 / GRCm39
Acsl4:Tmem164	Acsl4:Tmem164	b	ENSMUST00000112891.8	ENSMUSG00000047045.18	chrX	141535036	+	GENCODE M28 / GRCm39
Acsl4:Tmem164	Acsl4:Tmem164	b	ENSMUST00000087333.9	ENSMUSG00000047045.18	chrX	141535036	+	GENCODE M28 / GRCm39
Acsl4:Tmem164	Acsl4:Tmem164	b	ENSMUST00000112896.9	ENSMUSG00000047045.18	chrX	141535036	+	GENCODE M28 / GRCm39
Acsl4:Tmem164	Acsl4:Tmem164	b	ENSMUST00000133634.8	ENSMUSG00000047045.18	chrX	141535036	+	GENCODE M28 / GRCm39
Acsl4:Tmem164	Acsl4:Tmem164	b	ENSMUST00000124211.2	ENSMUSG00000047045.18	chrX	141535036	+	GENCODE M28 / GRCm39
Actr3:Pla2g4a	Actr3:Pla2g4a	a	ENSMUST00000027579.17	ENSMUSG00000026341.17	chr1	125363022	-	GENCODE M28 / GRCm39
Actr3:Pla2g4a	Actr3:Pla2g4a	a	ENSMUST00000178474.8	ENSMUSG00000026341.17	chr1	125363022	-	GENCODE M28 / GRCm39
Actr3:Pla2g4a	Actr3:Pla2g4a	a	ENSMUST00000191578.7	ENSMUSG00000026341.17	chr1	125363022	-	GENCODE M28 / GRCm39
Actr3:Pla2g4a	Actr3:Pla2g4a	a	ENSMUST00000188497.7	ENSMUSG00000026341.17	chr1	125363022	-	GENCODE M28 / GRCm39
Actr3:Pla2g4a	Actr3:Pla2g4a	a	ENSMUST00000191004.7	ENSMUSG00000026341.17	chr1	125363022	-	GENCODE M28 / GRCm39
Actr3:Pla2g4a	Actr3:Pla2g4a	a	ENSMUST00000187460.7	ENSMUSG00000026341.17	chr1	125363022	-	GENCODE M28 / GRCm39
Actr3:Pla2g4a	Actr3:Pla2g4a	a	ENSMUST00000185280.2	ENSMUSG00000026341.17	chr1	125363022	-	GENCODE M28 / GRCm39
Actr3:Pla2g4a	Actr3:Pla2g4a	a	ENSMUST00000188827.2	ENSMUSG00000026341.17	chr1	125363022	-	GENCODE M28 / GRCm39
Actr3:Pla2g4a	Actr3:Pla2g4a	b	ENSMUST00000070200.15	ENSMUSG00000056220.15	chr1	149763395	-	GENCODE M28 / GRCm39
Actr3:Pla2g4a	Actr3:Pla2g4a	b	ENSMUST00000111926.9	ENSMUSG00000056220.15	chr1	149763395	-	GENCODE M28 / GRCm39
Actr3:Pla2g4a	Actr3:Pla2g4a	b	ENSMUST00000190507.2	ENSMUSG00000056220.15	chr1	149763395	-	GENCODE M28 / GRCm39
Actr3:Pla2g4a	Actr3:Pla2g4a	b	ENSMUST00000155438.2	ENSMUSG00000056220.15	chr1	149763395	-	GENCODE M28 / GRCm39
Adam8:Tyrobp	Adam8:Tyrobp	a	ENSMUST00000026546.16	ENSMUSG00000025473.17	chr7	139571259	-	GENCODE M28 / GRCm39
Adam8:Tyrobp	Adam8:Tyrobp	a	ENSMUST00000106069.9	ENSMUSG00000025473.17	chr7	139571259	-	GENCODE M28 / GRCm39
Adam8:Tyrobp	Adam8:Tyrobp	a	ENSMUST00000128332.8	ENSMUSG00000025473.17	chr7	139571259	-	GENCODE M28 / GRCm39
Adam8:Tyrobp	Adam8:Tyrobp	a	ENSMUST00000148670.8	ENSMUSG00000025473.17	chr7	139571259	-	GENCODE M28 / GRCm39
Adam8:Tyrobp	Adam8:Tyrobp	a	ENSMUST00000173209.2	ENSMUSG00000025473.17	chr7	139571259	-	GENCODE M28 / GRCm39
Adam8:Tyrobp	Adam8:Tyrobp	b	ENSMUST00000207982.2	ENSMUSG00000030579.11	chr7	30116769	+	GENCODE M28 / GRCm39
Adam8:Tyrobp	Adam8:Tyrobp	b	ENSMUST00000032800.10	ENSMUSG00000030579.11	chr7	30116769	+	GENCODE M28 / GRCm39
Adam8:Tyrobp	Adam8:Tyrobp	b	ENSMUST00000208125.2	ENSMUSG00000030579.11	chr7	30116769	+	GENCODE M28 / GRCm39
Adprm:Emc2	Adprm:Emc2	a	ENSMUST00000146338.8	ENSMUSG00000020910.17	chr11	66942507	-	GENCODE M28 / GRCm39
Adprm:Emc2	Adprm:Emc2	a	ENSMUST00000116363.2	ENSMUSG00000020910.17	chr11	66942507	-	GENCODE M28 / GRCm39
Adprm:Emc2	Adprm:Emc2	a	ENSMUST00000146648.2	ENSMUSG00000020910.17	chr11	66942507	-	GENCODE M28 / GRCm39
Adprm:Emc2	Adprm:Emc2	b	ENSMUST00000022962.8	ENSMUSG00000022337.8	chr15	43355566	+	GENCODE M28 / GRCm39
Adprm:Emc2	Adprm:Emc2	b	ENSMUST00000228864.2	ENSMUSG00000022337.8	chr15	43355566	+	GENCODE M28 / GRCm39
Afg3l2:Cndp2	Afg3l2:Cndp2	a	ENSMUST00000025408.10	ENSMUSG00000024527.11	chr18	67581958	-	GENCODE M28 / GRCm39
Afg3l2:Cndp2	Afg3l2:Cndp2	a	ENSMUST00000235409.2	ENSMUSG00000024527.11	chr18	67581958	-	GENCODE M28 / GRCm39
Afg3l2:Cndp2	Afg3l2:Cndp2	a	ENSMUST00000236810.2	ENSMUSG00000024527.11	chr18	67581958	-	GENCODE M28 / GRCm39
Afg3l2:Cndp2	Afg3l2:Cndp2	b	ENSMUST00000025546.17	ENSMUSG00000024644.18	chr18	84693302	-	GENCODE M28 / GRCm39
Afg3l2:Cndp2	Afg3l2:Cndp2	b	ENSMUST00000168419.3	ENSMUSG00000024644.18	chr18	84693302	-	GENCODE M28 / GRCm39
Afg3l2:Cndp2	Afg3l2:Cndp2	b	ENSMUST00000236415.2	ENSMUSG00000024644.18	chr18	84693302	-	GENCODE M28 / GRCm39
Afg3l2:Cndp2	Afg3l2:Cndp2	b	ENSMUST00000237533.2	ENSMUSG00000024644.18	chr18	84693302	-	GENCODE M28 / GRCm39
Afg3l2:Cndp2	Afg3l2:Cndp2	b	ENSMUST00000236029.2	ENSMUSG00000024644.18	chr18	84693302	-	GENCODE M28 / GRCm39
Agl:Brk1	Agl:Brk1	a	ENSMUST00000040603.14	ENSMUSG00000033400.15	chr3	116600917	-	GENCODE M28 / GRCm39
Agl:Brk1	Agl:Brk1	a	ENSMUST00000162792.8	ENSMUSG00000033400.15	chr3	116600917	-	GENCODE M28 / GRCm39
Agl:Brk1	Agl:Brk1	a	ENSMUST00000161336.8	ENSMUSG00000033400.15	chr3	116600917	-	GENCODE M28 / GRCm39
Agl:Brk1	Agl:Brk1	a	ENSMUST00000159742.8	ENSMUSG00000033400.15	chr3	116600917	-	GENCODE M28 / GRCm39
Agl:Brk1	Agl:Brk1	a	ENSMUST00000162040.2	ENSMUSG00000033400.15	chr3	116600917	-	GENCODE M28 / GRCm39
Agl:Brk1	Agl:Brk1	a	ENSMUST00000159670.3	ENSMUSG00000033400.15	chr3	116600917	-	GENCODE M28 / GRCm39
Agl:Brk1	Agl:Brk1	b	ENSMUST00000035725.7	ENSMUSG00000033940.9	chr6	113592737	+	GENCODE M28 / GRCm39
Ammecr1:Rab9	Ammecr1:Rab9	a	ENSMUST00000041317.3	ENSMUSG00000042225.4	chrX	141749204	-	GENCODE M28 / GRCm39
Ammecr1:Rab9	Ammecr1:Rab9	b	ENSMUST00000112091.9	ENSMUSG00000079316.11	chrX	165245338	-	GENCODE M28 / GRCm39
Ammecr1:Rab9	Ammecr1:Rab9	b	ENSMUST00000149315.2	ENSMUSG00000079316.11	chrX	165245338	-	GENCODE M28 / GRCm39
Ampd3:Hapln3	Ampd3:Hapln3	a	ENSMUST00000170374.8	ENSMUSG00000005686.18	chr7	110395015	+	GENCODE M28 / GRCm39
Ampd3:Hapln3	Ampd3:Hapln3	a	ENSMUST00000213373.2	ENSMUSG00000005686.18	chr7	110395015	+	GENCODE M28 / GRCm39
Ampd3:Hapln3	Ampd3:Hapln3	a	ENSMUST00000005829.13	ENSMUSG00000005686.18	chr7	110395015	+	GENCODE M28 / GRCm39
Ampd3:Hapln3	Ampd3:Hapln3	b	ENSMUST00000206092.2	ENSMUSG00000030606.9	chr7	78773299	-	GENCODE M28 / GRCm39
Ampd3:Hapln3	Ampd3:Hapln3	b	ENSMUST00000205782.2	ENSMUSG00000030606.9	chr7	78773299	-	GENCODE M28 / GRCm39
Ampd3:Hapln3	Ampd3:Hapln3	b	ENSMUST00000032827.9	ENSMUSG00000030606.9	chr7	78773299	-	GENCODE M28 / GRCm39
Ampd3:Hapln3	Ampd3:Hapln3	b	ENSMUST00000206402.2	ENSMUSG00000030606.9	chr7	78773299	-	GENCODE M28 / GRCm39
Ankrd33b:Chd4	Ankrd33b:Chd4	a	ENSMUST00000123325.9	ENSMUSG00000022237.18	chr15	31367185	-	GENCODE M28 / GRCm39
Ankrd33b:Chd4	Ankrd33b:Chd4	a	ENSMUST00000156679.2	ENSMUSG00000022237.18	chr15	31367185	-	GENCODE M28 / GRCm39
Ankrd33b:Chd4	Ankrd33b:Chd4	a	ENSMUST00000044324.9	ENSMUSG00000022237.18	chr15	31367185	-	GENCODE M28 / GRCm39
Ankrd33b:Chd4	Ankrd33b:Chd4	a	ENSMUST00000076942.5	ENSMUSG00000022237.18	chr15	31367185	-	GENCODE M28 / GRCm39
Ankrd33b:Chd4	Ankrd33b:Chd4	b	ENSMUST00000112392.8	ENSMUSG00000063870.13	chr6	125105755	+	GENCODE M28 / GRCm39
Ankrd33b:Chd4	Ankrd33b:Chd4	b	ENSMUST00000056889.15	ENSMUSG00000063870.13	chr6	125105755	+	GENCODE M28 / GRCm39
Ankrd33b:Chd4	Ankrd33b:Chd4	b	ENSMUST00000112390.8	ENSMUSG00000063870.13	chr6	125105755	+	GENCODE M28 / GRCm39
Aoah:Sirt5_2	Aoah:Sirt5	a	ENSMUST00000021757.5	ENSMUSG00000021322.9	chr13	21035348	+	GENCODE M28 / GRCm39
Aoah:Sirt5_2	Aoah:Sirt5	a	ENSMUST00000221982.2	ENSMUSG00000021322.9	chr13	21035348	+	GENCODE M28 / GRCm39
Aoah:Sirt5_2	Aoah:Sirt5	b	ENSMUST00000223194.2	ENSMUSG00000054021.7	chr13	43548213	+	GENCODE M28 / GRCm39
Aoah:Sirt5_2	Aoah:Sirt5	b	ENSMUST00000066804.5	ENSMUSG00000054021.7	chr13	43548213	+	GENCODE M28 / GRCm39
Aopep:Sdha	Aopep:Sdha	a	ENSMUST00000091560.11	ENSMUSG00000021458.18	chr13	63388145	+	GENCODE M28 / GRCm39
Aopep:Sdha	Aopep:Sdha	a	ENSMUST00000021911.15	ENSMUSG00000021458.18	chr13	63388145	+	GENCODE M28 / GRCm39
Aopep:Sdha	Aopep:Sdha	a	ENSMUST00000220863.2	ENSMUSG00000021458.18	chr13	63388145	+	GENCODE M28 / GRCm39
