job_id	peptide_id	sequence_sha256	seed	role	length_aa	protocol_id	msa_mode	selection_cohort	status	reused_prior_prediction	mean_plddt	fraction_plddt_ge70	fraction_plddt_ge90	fraction_plddt_below_50	mean_pae_angstrom	ptm	reason
protein_00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c_precomputed_seed20260919	peptide_00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	20260919	sensitivity	47	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_101700281cde078bee94b7382d6e603a4babf7b2c6c73ebf43d4a469d59c79f5_precomputed_seed20260919	peptide_101700281cde078bee94b7382d6e603a4babf7b2c6c73ebf43d4a469d59c79f5	101700281cde078bee94b7382d6e603a4babf7b2c6c73ebf43d4a469d59c79f5	20260919	sensitivity	159	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_17d111deb4d6dc3037080cfa51b4f13d1b3e22d45fa78ccc97a0cca4c2afed7e_precomputed_seed20260919	peptide_17d111deb4d6dc3037080cfa51b4f13d1b3e22d45fa78ccc97a0cca4c2afed7e	17d111deb4d6dc3037080cfa51b4f13d1b3e22d45fa78ccc97a0cca4c2afed7e	20260919	sensitivity	164	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df_precomputed_seed20260919	peptide_1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df	1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df	20260919	sensitivity	32	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc_precomputed_seed20260919	peptide_1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc	1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc	20260919	sensitivity	81	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_2f5ccec75975e3c6f577920bce8d2353c43c2083ced5a445cd4306874aa49f96_precomputed_seed20260919	peptide_2f5ccec75975e3c6f577920bce8d2353c43c2083ced5a445cd4306874aa49f96	2f5ccec75975e3c6f577920bce8d2353c43c2083ced5a445cd4306874aa49f96	20260919	sensitivity	44	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_3538354085b81ef36c100a2816d54993d184f50f51149beb3c72110afb62890b_precomputed_seed20260919	peptide_3538354085b81ef36c100a2816d54993d184f50f51149beb3c72110afb62890b	3538354085b81ef36c100a2816d54993d184f50f51149beb3c72110afb62890b	20260919	sensitivity	39	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_3868fed335582b3a056d423efc2dbae9dfa7c7350d3572a0f67798065f307d53_precomputed_seed20260919	peptide_3868fed335582b3a056d423efc2dbae9dfa7c7350d3572a0f67798065f307d53	3868fed335582b3a056d423efc2dbae9dfa7c7350d3572a0f67798065f307d53	20260919	sensitivity	99	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa_precomputed_seed20260919	peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	20260919	sensitivity	207	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_5e0a55ceea7aa5596a1130b2f7a693b8a52acf6bf2ac12e69951ade5c9fb2d52_precomputed_seed20260919	peptide_5e0a55ceea7aa5596a1130b2f7a693b8a52acf6bf2ac12e69951ade5c9fb2d52	5e0a55ceea7aa5596a1130b2f7a693b8a52acf6bf2ac12e69951ade5c9fb2d52	20260919	sensitivity	118	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06_precomputed_seed20260919	peptide_61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	61dbcd41ff74ad3f3b63240c13327fee06c0feb5d06fe4cf72c1220d5d18bb06	20260919	sensitivity	167	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_6de3b695e6fb7625fb0b645afd1d9dbcedf1ea280f2faf93d7ebafbd589a09ef_precomputed_seed20260919	peptide_6de3b695e6fb7625fb0b645afd1d9dbcedf1ea280f2faf93d7ebafbd589a09ef	6de3b695e6fb7625fb0b645afd1d9dbcedf1ea280f2faf93d7ebafbd589a09ef	20260919	sensitivity	298	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_7153a9988f10e3f16ef9401be9c3ebf0e792e0075a0738bde80362e44019b419_precomputed_seed20260919	peptide_7153a9988f10e3f16ef9401be9c3ebf0e792e0075a0738bde80362e44019b419	7153a9988f10e3f16ef9401be9c3ebf0e792e0075a0738bde80362e44019b419	20260919	sensitivity	304	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_74500f70e6a9f3f7e33db93e70c8610c8c7af7704f8522687bc26abc4cd3eb18_precomputed_seed20260919	peptide_74500f70e6a9f3f7e33db93e70c8610c8c7af7704f8522687bc26abc4cd3eb18	74500f70e6a9f3f7e33db93e70c8610c8c7af7704f8522687bc26abc4cd3eb18	20260919	sensitivity	234	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_7a9f6f4887bd814b003cf10313fd2533c1efedd27d7e63a1d4f1508167c28ace_precomputed_seed20260919	peptide_7a9f6f4887bd814b003cf10313fd2533c1efedd27d7e63a1d4f1508167c28ace	7a9f6f4887bd814b003cf10313fd2533c1efedd27d7e63a1d4f1508167c28ace	20260919	sensitivity	39	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_7c620433a33c479bd09812150c15d2e0accd796c3cd40b057543080302fe009b_precomputed_seed20260919	peptide_7c620433a33c479bd09812150c15d2e0accd796c3cd40b057543080302fe009b	7c620433a33c479bd09812150c15d2e0accd796c3cd40b057543080302fe009b	20260919	sensitivity	46	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_899325e73395c7c25bfb100e110524886b8177bae90a0ab97604b66f4b77da1e_precomputed_seed20260919	peptide_899325e73395c7c25bfb100e110524886b8177bae90a0ab97604b66f4b77da1e	899325e73395c7c25bfb100e110524886b8177bae90a0ab97604b66f4b77da1e	20260919	sensitivity	95	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_91b6c2354036f74992cb5f2520a3614bb2b0ecc3feab662dbb7e791accc4b3b7_precomputed_seed20260919	peptide_91b6c2354036f74992cb5f2520a3614bb2b0ecc3feab662dbb7e791accc4b3b7	91b6c2354036f74992cb5f2520a3614bb2b0ecc3feab662dbb7e791accc4b3b7	20260919	sensitivity	213	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_9a99577ea77e93a51bb896132001fac6caa242ee517a62995ddef9d39a72f54a_precomputed_seed20260919	peptide_9a99577ea77e93a51bb896132001fac6caa242ee517a62995ddef9d39a72f54a	9a99577ea77e93a51bb896132001fac6caa242ee517a62995ddef9d39a72f54a	20260919	sensitivity	711	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_b0d22e27937167cce8168e89f2f47683b4ada96ad48b9ebb22e347b9e99abcb8_precomputed_seed20260919	peptide_b0d22e27937167cce8168e89f2f47683b4ada96ad48b9ebb22e347b9e99abcb8	b0d22e27937167cce8168e89f2f47683b4ada96ad48b9ebb22e347b9e99abcb8	20260919	sensitivity	141	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_b537f99b45ff96dfbe025055a4ef53a4d336495d89f7355a3e01399abae3638e_precomputed_seed20260919	peptide_b537f99b45ff96dfbe025055a4ef53a4d336495d89f7355a3e01399abae3638e	b537f99b45ff96dfbe025055a4ef53a4d336495d89f7355a3e01399abae3638e	20260919	sensitivity	568	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75_precomputed_seed20260919	peptide_ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75	ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75	20260919	sensitivity	2498	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_d09ba36d63b4b05b94c1787f8ea186e5b841f5920b3ffb5356533bd95afd68da_precomputed_seed20260919	peptide_d09ba36d63b4b05b94c1787f8ea186e5b841f5920b3ffb5356533bd95afd68da	d09ba36d63b4b05b94c1787f8ea186e5b841f5920b3ffb5356533bd95afd68da	20260919	sensitivity	259	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_dba94fe4564b656dcb4c88ed9c0af05dfe78a7d6ea0ef18b1c71b29fe58fa0d9_precomputed_seed20260919	peptide_dba94fe4564b656dcb4c88ed9c0af05dfe78a7d6ea0ef18b1c71b29fe58fa0d9	dba94fe4564b656dcb4c88ed9c0af05dfe78a7d6ea0ef18b1c71b29fe58fa0d9	20260919	sensitivity	95	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_dfb8a2ccde79614b69b3425f8cd6ffcf0f2bddaf437ae76facc8bb7ebdfacb2e_precomputed_seed20260919	peptide_dfb8a2ccde79614b69b3425f8cd6ffcf0f2bddaf437ae76facc8bb7ebdfacb2e	dfb8a2ccde79614b69b3425f8cd6ffcf0f2bddaf437ae76facc8bb7ebdfacb2e	20260919	sensitivity	193	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_e5af13d33e889258c3c023a666c476f620d82348973f983e518b9779866522d1_precomputed_seed20260919	peptide_e5af13d33e889258c3c023a666c476f620d82348973f983e518b9779866522d1	e5af13d33e889258c3c023a666c476f620d82348973f983e518b9779866522d1	20260919	sensitivity	175	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_e6bde9e98c0c71a406cda37d339a2829de1ba0ba203b851d67e4082deda858a7_precomputed_seed20260919	peptide_e6bde9e98c0c71a406cda37d339a2829de1ba0ba203b851d67e4082deda858a7	e6bde9e98c0c71a406cda37d339a2829de1ba0ba203b851d67e4082deda858a7	20260919	sensitivity	383	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_eaadb81f5c70805626da52cd61e57438d32bf21d9a2d8384477f99624294a992_precomputed_seed20260919	peptide_eaadb81f5c70805626da52cd61e57438d32bf21d9a2d8384477f99624294a992	eaadb81f5c70805626da52cd61e57438d32bf21d9a2d8384477f99624294a992	20260919	sensitivity	158	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_f3b157eea4a7b3afed59584e95a707bc05cb7cf6e128952858f1c030fdca8e9f_precomputed_seed20260919	peptide_f3b157eea4a7b3afed59584e95a707bc05cb7cf6e128952858f1c030fdca8e9f	f3b157eea4a7b3afed59584e95a707bc05cb7cf6e128952858f1c030fdca8e9f	20260919	sensitivity	70	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_ff641b7f66baa209ff86e50cff70775b9fc1fd0004872ad33a501711d57eaf5e_precomputed_seed20260919	peptide_ff641b7f66baa209ff86e50cff70775b9fc1fd0004872ad33a501711d57eaf5e	ff641b7f66baa209ff86e50cff70775b9fc1fd0004872ad33a501711d57eaf5e	20260919	sensitivity	133	boltz2_2.2.1_precomputed	precomputed	conditional_consensus	not_run	False							No actual prediction or validated cache
protein_19394e5c359c5a82b8cb1bd0ed1fa1b68fb38f6139c5c1acdf5b19900a03299a_precomputed_seed20260919	peptide_19394e5c359c5a82b8cb1bd0ed1fa1b68fb38f6139c5c1acdf5b19900a03299a	19394e5c359c5a82b8cb1bd0ed1fa1b68fb38f6139c5c1acdf5b19900a03299a	20260919	sensitivity	112	boltz2_2.2.1_precomputed	precomputed	conditional_annotated_start	not_run	False							No actual prediction or validated cache
protein_d9dadae508e1aba65519f0bec221151e33dd065734ac6bd7d657c57034b61154_precomputed_seed20260919	peptide_d9dadae508e1aba65519f0bec221151e33dd065734ac6bd7d657c57034b61154	d9dadae508e1aba65519f0bec221151e33dd065734ac6bd7d657c57034b61154	20260919	sensitivity	86	boltz2_2.2.1_precomputed	precomputed	conditional_annotated_start	not_run	False							No actual prediction or validated cache
protein_b38a46e68fa112ecb3d07b06ff9f3c00cfbcb19b8f9098cd396c99a0030c80ca_precomputed_seed20260919	peptide_b38a46e68fa112ecb3d07b06ff9f3c00cfbcb19b8f9098cd396c99a0030c80ca	b38a46e68fa112ecb3d07b06ff9f3c00cfbcb19b8f9098cd396c99a0030c80ca	20260919	sensitivity	75	boltz2_2.2.1_precomputed	precomputed	conditional_annotated_start	not_run	False							No actual prediction or validated cache
protein_70b1ed4ba81a68375cfb42e68d1af3b9cf1105b34faaa49a883b93a8bfa81b6c_precomputed_seed20260919	peptide_70b1ed4ba81a68375cfb42e68d1af3b9cf1105b34faaa49a883b93a8bfa81b6c	70b1ed4ba81a68375cfb42e68d1af3b9cf1105b34faaa49a883b93a8bfa81b6c	20260919	sensitivity	154	boltz2_2.2.1_precomputed	precomputed	conditional_annotated_start	not_run	False							No actual prediction or validated cache
