peptide_id	region	mean_f_idr	min_f_idr	max_f_idr	n_hypotheses
peptide_00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	junction_window	0.0	0.0	0.0	6
peptide_00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	parent_a_canonical	0.0	0.0	0.0	6
peptide_00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	parent_b_out_of_frame	0.0	0.0	0.0	6
peptide_0113c383751f1a0ef3d6b27676d2e2141e091b8b60dc744ecdfddcbc258c577c	junction_window	1.0	1.0	1.0	3
peptide_0113c383751f1a0ef3d6b27676d2e2141e091b8b60dc744ecdfddcbc258c577c	parent_a_canonical	0.19439366240097503	0.19439366240097503	0.19439366240097503	3
peptide_0113c383751f1a0ef3d6b27676d2e2141e091b8b60dc744ecdfddcbc258c577c	parent_b_out_of_frame	1.0	1.0	1.0	2
peptide_0113c383751f1a0ef3d6b27676d2e2141e091b8b60dc744ecdfddcbc258c577c	parent_b_unannotated_CDS	1.0	1.0	1.0	1
peptide_031f87d03d93806fb6598bc5acfc051372dffe27f323210698bb511e6bbec75f	junction_split_codon	1.0	1.0	1.0	1
peptide_031f87d03d93806fb6598bc5acfc051372dffe27f323210698bb511e6bbec75f	junction_window	1.0	1.0	1.0	1
peptide_031f87d03d93806fb6598bc5acfc051372dffe27f323210698bb511e6bbec75f	parent_a_canonical	1.0	1.0	1.0	1
peptide_031f87d03d93806fb6598bc5acfc051372dffe27f323210698bb511e6bbec75f	parent_b_canonical	0.13263157894736843	0.13263157894736843	0.13263157894736843	1
peptide_04e15dc3926c12278ffcff63cfbb0a6f232e69a5d16fa877239ea03bee778a02	junction_split_codon	0.0	0.0	0.0	3
peptide_04e15dc3926c12278ffcff63cfbb0a6f232e69a5d16fa877239ea03bee778a02	junction_window	0.0	0.0	0.0	3
peptide_04e15dc3926c12278ffcff63cfbb0a6f232e69a5d16fa877239ea03bee778a02	parent_a_canonical	0.0	0.0	0.0	3
peptide_04e15dc3926c12278ffcff63cfbb0a6f232e69a5d16fa877239ea03bee778a02	parent_b_out_of_frame	0.0	0.0	0.0	3
peptide_06518bc387ccfd3be991b7ce8522835748deb4643cd98dccca776b3e1dd2d9c1	junction_split_codon	0.0	0.0	0.0	2
peptide_06518bc387ccfd3be991b7ce8522835748deb4643cd98dccca776b3e1dd2d9c1	junction_window	0.0	0.0	0.0	2
peptide_06518bc387ccfd3be991b7ce8522835748deb4643cd98dccca776b3e1dd2d9c1	parent_a_canonical	0.0	0.0	0.0	2
peptide_06518bc387ccfd3be991b7ce8522835748deb4643cd98dccca776b3e1dd2d9c1	parent_b_canonical	0.0	0.0	0.0	2
peptide_06a47ea8fb14decf2e1f83ce3d7b3bc9900a29ed89cc722332a43a369472b176	junction_split_codon	0.0	0.0	0.0	1
peptide_06a47ea8fb14decf2e1f83ce3d7b3bc9900a29ed89cc722332a43a369472b176	junction_window	0.0	0.0	0.0	1
peptide_06a47ea8fb14decf2e1f83ce3d7b3bc9900a29ed89cc722332a43a369472b176	parent_a_canonical	0.08185053380782918	0.08185053380782918	0.08185053380782918	1
peptide_06a47ea8fb14decf2e1f83ce3d7b3bc9900a29ed89cc722332a43a369472b176	parent_b_canonical	0.0	0.0	0.0	1
peptide_06ff13e279243d2b7ad8638c5afd0676ce8e8691414485e804189b01e04b5c71	junction_split_codon	0.0	0.0	0.0	2
peptide_06ff13e279243d2b7ad8638c5afd0676ce8e8691414485e804189b01e04b5c71	junction_window	0.45161290322580644	0.45161290322580644	0.45161290322580644	2
peptide_06ff13e279243d2b7ad8638c5afd0676ce8e8691414485e804189b01e04b5c71	parent_a_canonical	0.9411764705882353	0.9411764705882353	0.9411764705882353	2
peptide_06ff13e279243d2b7ad8638c5afd0676ce8e8691414485e804189b01e04b5c71	parent_b_canonical	0.0	0.0	0.0	2
peptide_0a3c36316543a47148471358f32a4ec64764c26acc5dd428c304719ee387455d	junction_window	1.0	1.0	1.0	3
peptide_0a3c36316543a47148471358f32a4ec64764c26acc5dd428c304719ee387455d	parent_a_canonical	0.21071643588199876	0.2107164358819988	0.2107164358819988	3
peptide_0a3c36316543a47148471358f32a4ec64764c26acc5dd428c304719ee387455d	parent_b_out_of_frame	1.0	1.0	1.0	2
peptide_0a3c36316543a47148471358f32a4ec64764c26acc5dd428c304719ee387455d	parent_b_unannotated_CDS	1.0	1.0	1.0	1
peptide_0c490e72ecae44550e53ca74fe76b911e1331a1d12589a18ae2832bd120927f3	junction_split_codon	1.0	1.0	1.0	4
peptide_0c490e72ecae44550e53ca74fe76b911e1331a1d12589a18ae2832bd120927f3	junction_window	1.0	1.0	1.0	4
peptide_0c490e72ecae44550e53ca74fe76b911e1331a1d12589a18ae2832bd120927f3	parent_a_canonical	1.0	1.0	1.0	4
peptide_0c490e72ecae44550e53ca74fe76b911e1331a1d12589a18ae2832bd120927f3	parent_b_out_of_frame	1.0	1.0	1.0	4
peptide_1015ff2fa888cebfb365500cc0ab8e73fbbf1ac9a892fa1436d4660a59c814cd	junction_split_codon	0.0	0.0	0.0	4
peptide_1015ff2fa888cebfb365500cc0ab8e73fbbf1ac9a892fa1436d4660a59c814cd	junction_window	0.05263157894736842	0.05263157894736842	0.05263157894736842	4
peptide_1015ff2fa888cebfb365500cc0ab8e73fbbf1ac9a892fa1436d4660a59c814cd	parent_a_canonical	0.8666666666666667	0.8666666666666667	0.8666666666666667	4
