pair_id	n_hypotheses	mean_f_idr	min_f_idr	max_f_idr	fraction_hypotheses_predominantly_disordered
Abcc5:Oas1a	1	0.217391304347826	0.217391304347826	0.217391304347826	0.0
Acod1:Cd86	1	0.2072538860103626	0.2072538860103626	0.2072538860103626	0.0
Acp2:Renbp	2	0.08069266798774995	0.0778688524590164	0.0835164835164835	0.0
Aoah:Blcap	1	0.4191616766467065	0.4191616766467065	0.4191616766467065	0.0
Aoah:Sirt5	1	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0
Aopep:Akr1e1	4	0.26013591180059825	0.225531914893617	0.2938829787234042	0.0
Asph:Rab2a	5	0.2569346845117474	0.1762452107279693	0.3194888178913738	0.0
Atp6v0a1:Akr1a1	2	0.0	0.0	0.0	0.0
Cacna1d:Ninj1	7	0.21584665162061017	0.2019173157579389	0.2342289719626168	0.0
Cd274:Lacc1	1	0.0694980694980695	0.0694980694980695	0.0694980694980695	0.0
Chchd3:1810058I24Rik	1	0.5975609756097561	0.5975609756097561	0.5975609756097561	1.0
Chd1:Ttc27	2	0.0641285140562249	0.064	0.0642570281124498	0.0
Clcc1:Sars	2	0.5572268907563025	0.5085714285714286	0.6058823529411764	1.0
Dhrs3:Tusc3	6	0.007467490210302283	0.0	0.0204081632653061	0.0
Dtx2:Fam53a	1	0.3498349834983498	0.3498349834983498	0.3498349834983498	0.0
Ehd1:B2m	1	0.050314465408805	0.050314465408805	0.050314465408805	0.0
Frrs1:Blnk	2	0.3842526877942519	0.3834586466165413	0.3850467289719626	0.0
Gltp:Ankrd13a	6	0.11180199496331754	0.0319148936170212	0.1881481481481481	0.0
Gpnmb:Arf2	1	0.1097046413502109	0.1097046413502109	0.1097046413502109	0.0
Gsdmd:Tmem106a	1	1.0	1.0	1.0	1.0
H2-Q7:Tmem179b	1	0.0	0.0	0.0	0.0
Itsn1:Gm34342	1	0.1612903225806451	0.1612903225806451	0.1612903225806451	0.0
Khsrp:Prmt1	2	0.24286283437677855	0.2028571428571428	0.2828685258964143	0.0
Laptm4a:Nrp2	1	0.8354430379746836	0.8354430379746836	0.8354430379746836	1.0
Lrp1:Mndal	2	0.5492573438768453	0.5225653206650831	0.5759493670886076	1.0
Mertk:Laptm4a	1	0.08	0.08	0.08	0.0
Mtpn:Rab9	1	0.0	0.0	0.0	0.0
Ndor1:Cyhr1	9	0.20795317526524715	0.0	0.5483870967741935	0.1111111111111111
Nfkb1:Cisd2	1	1.0	1.0	1.0	1.0
Npc1:Slx4	1	0.1891891891891892	0.1891891891891892	0.1891891891891892	0.0
Npc1:Ttc39c	2	0.09813307130825374	0.0693430656934306	0.1269230769230769	0.0
Nsdhl:Ahnak	1	0.2105263157894736	0.2105263157894736	0.2105263157894736	0.0
Oas3:Trim34a	1	0.1276223776223776	0.1276223776223776	0.1276223776223776	0.0
Osbpl8:Znhit6	2	1.0	1.0	1.0	1.0
Pacc1:Atf3	1	1.0	1.0	1.0	1.0
Pfkfb4:Anxa2	1	0.0185676392572944	0.0185676392572944	0.0185676392572944	0.0
Pphln1:Phf20l1	6	0.9186638504566652	0.7458628841607565	1.0	1.0
Psap:Tspan3	2	0.10833333333333331	0.0833333333333333	0.1333333333333333	0.0
Psmb1:Nmt2	8	0.3252970759806403	0.0920840064620355	0.7058823529411765	0.125
Psmc2:Pmpcb	2	0.1149196520713548	0.0644257703081232	0.1654135338345864	0.0
Rab8b:Ythdf3	1	0.0	0.0	0.0	0.0
Rac1:Reep5	2	0.0292207792207792	0.0	0.0584415584415584	0.0
Rb1:Itm2b	1	0.1157760814249363	0.1157760814249363	0.1157760814249363	0.0
Reep5:Ctnnbl1	2	0.023984411903637152	0.0034482758620689	0.0445205479452054	0.0
Rftn1:Tgif1	2	0.4661274749005887	0.3640167364016736	0.5682382133995038	0.5
