gene_symbol	gene_id	mgi_id	chrom	start	end	strand
4933401J01Rik	ENSMUSG00000102693.2	MGI:1918292	chr1	3143476	3144545	+
Gm26206	ENSMUSG00000064842.3	MGI:5455983	chr1	3172239	3172348	+
Xkr4	ENSMUSG00000051951.6	MGI:3528744	chr1	3276124	3741721	-
Gm18956	ENSMUSG00000102851.2	MGI:5011141	chr1	3322980	3323459	+
Gm37180	ENSMUSG00000103377.2	MGI:5610408	chr1	3435954	3438772	-
Gm37363	ENSMUSG00000104017.2	MGI:5610591	chr1	3445779	3448011	-
Gm37686	ENSMUSG00000103025.2	MGI:5610914	chr1	3535200	3537508	-
Gm1992	ENSMUSG00000089699.2	MGI:3780162	chr1	3536810	3583776	+
Gm37329	ENSMUSG00000103201.2	MGI:5610557	chr1	3582674	3584730	-
Gm7341	ENSMUSG00000103147.2	MGI:3648497	chr1	3602018	3602943	+
Gm38148	ENSMUSG00000103161.2	MGI:5611376	chr1	3663115	3666126	-
Gm19938	ENSMUSG00000102331.2	MGI:5012123	chr1	3717532	3729127	-
Gm10568	ENSMUSG00000102348.2	MGI:3642703	chr1	3750378	3752011	+
Gm38385	ENSMUSG00000102592.2	MGI:5611613	chr1	3822233	3824583	+
Gm27396	ENSMUSG00000088333.4	MGI:5530778	chr1	3854099	3854156	-
Gm37381	ENSMUSG00000102343.2	MGI:5610609	chr1	3975962	4056438	-
Rp1	ENSMUSG00000025900.14	MGI:1341105	chr1	4069780	4479464	-
Gm6101	ENSMUSG00000102948.2	MGI:3644986	chr1	4326457	4330742	-
Gm37483	ENSMUSG00000104123.2	MGI:5610711	chr1	4433569	4435052	-
Sox17	ENSMUSG00000025902.14	MGI:107543	chr1	4561154	4567577	-
Gm37587	ENSMUSG00000104238.2	MGI:5610815	chr1	4566774	4569781	+
Gm7357	ENSMUSG00000102269.2	MGI:3643257	chr1	4593128	4596960	+
Gm22307	ENSMUSG00000118917.1	MGI:5452084	chr1	4599240	4599346	+
Gm38076	ENSMUSG00000103003.2	MGI:5611304	chr1	4605060	4605509	-
Gm37323	ENSMUSG00000104328.2	MGI:5610551	chr1	4653352	4656475	-
