pair_id	parent_a	parent_b	parent_a_ids	parent_b_ids	parent_a_mgi_ids	parent_b_mgi_ids	parent_a_mapping	parent_b_mapping	chromosome_a	chromosome_b	species	assembly	annotation	long_read_support	sample_count	sample_count_status	is_interchromosomal	genomic_distance	in_probe_panel	label	reported_nanostring_support	short_read_reported_support	cross_reported_support	caller_names	assay_tested	assay_qc_status	exclusion_reason	source_ids	source_url
1810013L24Rik:Pmm2	1810013L24Rik	Pmm2	ENSMUSG00000022507.7	ENSMUSG00000022711.17	MGI:1916303	MGI:1859214	unique_gencode_gene	unique_gencode_gene	chr16	chr16	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	167633	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
4833420G17Rik:Zfp951	4833420G17Rik	Zfp951	ENSMUSG00000062822.9	ENSMUSG00000072774.11	MGI:1914642	MGI:2441896	unique_gencode_gene	unique_gencode_gene	chr13	chr5	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Abca1:Pgm1	Abca1	Pgm1	ENSMUSG00000015243.5	ENSMUSG00000025791.19	MGI:99607	MGI:97565	unique_gencode_gene	unique_gencode_gene	chr4	chr4	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	46626716	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Abca3:Nek2	Abca3	Nek2	ENSMUSG00000024130.17	ENSMUSG00000026622.16	MGI:1351617	MGI:109359	unique_gencode_gene	unique_gencode_gene	chr17	chr1	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Abca3:Nup205	Abca3	Nup205	ENSMUSG00000024130.17	ENSMUSG00000038759.16	MGI:1351617	MGI:2141625	unique_gencode_gene	unique_gencode_gene	chr17	chr6	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Abcc5:Clic5	Abcc5	Clic5	ENSMUSG00000022822.17	ENSMUSG00000023959.11	MGI:1351644	MGI:1917912	unique_gencode_gene	unique_gencode_gene	chr16	chr17	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Abcc5:Oas1a	Abcc5	Oas1a	ENSMUSG00000022822.17	ENSMUSG00000052776.11	MGI:1351644	MGI:2180860	unique_gencode_gene	unique_gencode_gene	chr16	chr5	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	1	0	True	1	True	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Abl2:Soat1	Abl2	Soat1	ENSMUSG00000026596.14	ENSMUSG00000026600.13	MGI:87860	MGI:104665	unique_gencode_gene	unique_gencode_gene	chr1	chr1	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	84455	True	0	False	True	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Abr:Pitpna	Abr	Pitpna	ENSMUSG00000017631.20	ENSMUSG00000017781.18	MGI:107771	MGI:99887	unique_gencode_gene	unique_gencode_gene	chr11	chr11	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	787930	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
Acbd5:Eif6	Acbd5	Eif6	ENSMUSG00000026781.18	ENSMUSG00000027613.16	MGI:1921409	MGI:1196288	unique_gencode_gene	unique_gencode_gene	chr2	chr2	Mus musculus	GRCm39	GENCODE M28	1		unavailable_read_to_sample_mapping	0	132656182	True	0	False	False	False	LongGF;JaffaL;Genion	unknown	unknown		supplementary_table_3;supplementary_table_4;gencode_M28;supplementary_table_7;supplementary_table_8	https://www.nature.com/articles/s41586-026-10982-x
