protocol_id	cluster_id	domain_id	peptide_id	job_id	role	pfam_accessions	domain_length_aa
boltz2_2.2.1_single_sequence	cluster_fd1beb45412ff7b5fab2	domain_012aae784d9c2f9afa567302	peptide_ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75	protein_ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75_single_sequence_seed20260919	sensitivity	PF00435.28	94
boltz2_2.2.1_single_sequence	cluster_fd1beb45412ff7b5fab2	domain_5697e02af99c262488197d03	peptide_ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75	protein_ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75_single_sequence_seed20260919	sensitivity	PF00435.28	100
boltz2_2.2.1_single_sequence	cluster_fd1beb45412ff7b5fab2	domain_99e642c07a95d216ea3f5faa	peptide_ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75	protein_ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75_single_sequence_seed20260919	sensitivity	PF00435.28	107
boltz2_2.2.1_single_sequence	cluster_a1c924d81ffe5eb16151	domain_1a42dd46f636ed90ba8e4bc2	control_4d8da7a249b8e2edf2d48ecc95d93eb6898532d6e07ed982fec0fc4c9c14e12a	protein_4d8da7a249b8e2edf2d48ecc95d93eb6898532d6e07ed982fec0fc4c9c14e12a_single_sequence_seed20260919	control	PF04670.19	123
boltz2_2.2.1_single_sequence	cluster_a1c924d81ffe5eb16151	domain_50432456cbfbc364d5ce67e0	control_4d8da7a249b8e2edf2d48ecc95d93eb6898532d6e07ed982fec0fc4c9c14e12a	protein_4d8da7a249b8e2edf2d48ecc95d93eb6898532d6e07ed982fec0fc4c9c14e12a_single_sequence_seed20260919	control	PF00071.29	150
boltz2_2.2.1_single_sequence	cluster_d21c3659e7677c2b6db9	domain_43775318fbb82962611b9708	peptide_7b0d5d3c3a31c1168531049ad5eb4bf68c7070067b6a2cd48ed4f7d87f40e85a	protein_7b0d5d3c3a31c1168531049ad5eb4bf68c7070067b6a2cd48ed4f7d87f40e85a_single_sequence_seed20260919	sensitivity	PF00520.38	255
boltz2_2.2.1_single_sequence	cluster_d21c3659e7677c2b6db9	domain_521f9dd61764eae434b7c54a	peptide_7b0d5d3c3a31c1168531049ad5eb4bf68c7070067b6a2cd48ed4f7d87f40e85a	protein_7b0d5d3c3a31c1168531049ad5eb4bf68c7070067b6a2cd48ed4f7d87f40e85a_single_sequence_seed20260919	sensitivity	PF00520.38	278
boltz2_2.2.1_single_sequence	cluster_d21c3659e7677c2b6db9	domain_c52505ed6597f48577200e77	peptide_7b0d5d3c3a31c1168531049ad5eb4bf68c7070067b6a2cd48ed4f7d87f40e85a	protein_7b0d5d3c3a31c1168531049ad5eb4bf68c7070067b6a2cd48ed4f7d87f40e85a_single_sequence_seed20260919	sensitivity	PF00520.38	291
boltz2_2.2.1_single_sequence	cluster_d21c3659e7677c2b6db9	domain_f4ba46069a4655e235980e23	peptide_7b0d5d3c3a31c1168531049ad5eb4bf68c7070067b6a2cd48ed4f7d87f40e85a	protein_7b0d5d3c3a31c1168531049ad5eb4bf68c7070067b6a2cd48ed4f7d87f40e85a_single_sequence_seed20260919	sensitivity	PF00520.38	236
