job_id	peptide_id	sequence_sha256	protocol_id	role	seed	job_status	analysis_status	reason	pfam_span_count	qualified_domain_count	qualified_residue_union_fraction
protein_00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c_precomputed_seed20260919	peptide_00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	boltz2_2.2.1_precomputed	sensitivity	20260919	not_run	model_unavailable	not_run	0	0	0
protein_06a47ea8fb14decf2e1f83ce3d7b3bc9900a29ed89cc722332a43a369472b176_precomputed_seed20260919	peptide_06a47ea8fb14decf2e1f83ce3d7b3bc9900a29ed89cc722332a43a369472b176	06a47ea8fb14decf2e1f83ce3d7b3bc9900a29ed89cc722332a43a369472b176	boltz2_2.2.1_precomputed	sensitivity	20260919	not_run	model_unavailable	not_run	0	0	0
protein_101700281cde078bee94b7382d6e603a4babf7b2c6c73ebf43d4a469d59c79f5_precomputed_seed20260919	peptide_101700281cde078bee94b7382d6e603a4babf7b2c6c73ebf43d4a469d59c79f5	101700281cde078bee94b7382d6e603a4babf7b2c6c73ebf43d4a469d59c79f5	boltz2_2.2.1_precomputed	sensitivity	20260919	not_run	model_unavailable	not_run	0	0	0
protein_1148a09617eba2312e87a99c5e199bf30521982cb6c30cc7354ca5f31aa604ee_precomputed_seed20260919	peptide_1148a09617eba2312e87a99c5e199bf30521982cb6c30cc7354ca5f31aa604ee	1148a09617eba2312e87a99c5e199bf30521982cb6c30cc7354ca5f31aa604ee	boltz2_2.2.1_precomputed	sensitivity	20260919	not_run	model_unavailable	not_run	0	0	0
protein_13af641587610835ccf13231157fe90ef6e91f0485fa14f7ec5a46506b5a8823_precomputed_seed20260919	control_13af641587610835ccf13231157fe90ef6e91f0485fa14f7ec5a46506b5a8823	13af641587610835ccf13231157fe90ef6e91f0485fa14f7ec5a46506b5a8823	boltz2_2.2.1_precomputed	control	20260919	not_run	model_unavailable	not_run	0	0	0
protein_17d111deb4d6dc3037080cfa51b4f13d1b3e22d45fa78ccc97a0cca4c2afed7e_precomputed_seed20260919	peptide_17d111deb4d6dc3037080cfa51b4f13d1b3e22d45fa78ccc97a0cca4c2afed7e	17d111deb4d6dc3037080cfa51b4f13d1b3e22d45fa78ccc97a0cca4c2afed7e	boltz2_2.2.1_precomputed	sensitivity	20260919	not_run	model_unavailable	not_run	0	0	0
protein_19394e5c359c5a82b8cb1bd0ed1fa1b68fb38f6139c5c1acdf5b19900a03299a_precomputed_seed20260919	peptide_19394e5c359c5a82b8cb1bd0ed1fa1b68fb38f6139c5c1acdf5b19900a03299a	19394e5c359c5a82b8cb1bd0ed1fa1b68fb38f6139c5c1acdf5b19900a03299a	boltz2_2.2.1_precomputed	sensitivity	20260919	not_run	model_unavailable	not_run	0	0	0
protein_1bb99356d918b0fbaa9b069fdeb691f9390e078bfa32068a8186f372bbfd91a3_precomputed_seed20260919	control_1bb99356d918b0fbaa9b069fdeb691f9390e078bfa32068a8186f372bbfd91a3	1bb99356d918b0fbaa9b069fdeb691f9390e078bfa32068a8186f372bbfd91a3	boltz2_2.2.1_precomputed	control	20260919	not_run	model_unavailable	not_run	0	0	0
protein_1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df_precomputed_seed20260919	peptide_1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df	1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df	boltz2_2.2.1_precomputed	sensitivity	20260919	not_run	model_unavailable	not_run	0	0	0
protein_1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc_precomputed_seed20260919	peptide_1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc	1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc	boltz2_2.2.1_precomputed	sensitivity	20260919	not_run	model_unavailable	not_run	0	0	0
protein_2f5ccec75975e3c6f577920bce8d2353c43c2083ced5a445cd4306874aa49f96_precomputed_seed20260919	peptide_2f5ccec75975e3c6f577920bce8d2353c43c2083ced5a445cd4306874aa49f96	2f5ccec75975e3c6f577920bce8d2353c43c2083ced5a445cd4306874aa49f96	boltz2_2.2.1_precomputed	sensitivity	20260919	not_run	model_unavailable	not_run	0	0	0
protein_2fd568c243ae5fc146a0c3231fbaef7e40cf01dbf9a2cc5cea6ca2f10c9a8f54_precomputed_seed20260919	peptide_2fd568c243ae5fc146a0c3231fbaef7e40cf01dbf9a2cc5cea6ca2f10c9a8f54	2fd568c243ae5fc146a0c3231fbaef7e40cf01dbf9a2cc5cea6ca2f10c9a8f54	boltz2_2.2.1_precomputed	sensitivity	20260919	not_run	model_unavailable	not_run	0	0	0
protein_345129754ff0ccc173929ddf22b27736775c4329d5023cd85485e4a3b98d6af1_precomputed_seed20260919	control_345129754ff0ccc173929ddf22b27736775c4329d5023cd85485e4a3b98d6af1	345129754ff0ccc173929ddf22b27736775c4329d5023cd85485e4a3b98d6af1	boltz2_2.2.1_precomputed	control	20260919	not_run	model_unavailable	not_run	0	0	0
