peptide_id	protocol_id	seed_a	seed_b	whole_chain_fitted_ca_rmsd_A	common_confident_residues	confident_fitted_ca_rmsd_A	interpretation
peptide_00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	boltz2_2.2.1_single_sequence	20260919	20260920	4.372523227020816	16	2.5926337783584343	Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	boltz2_2.2.1_single_sequence	20260919	20260921	1.4400175198218477	17	0.3204131491445206	Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	boltz2_2.2.1_single_sequence	20260920	20260921	3.925042928389817	16	2.5629229820812505	Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_06a47ea8fb14decf2e1f83ce3d7b3bc9900a29ed89cc722332a43a369472b176	boltz2_2.2.1_single_sequence	20260919	20260920	17.81683319529983	0		Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_06a47ea8fb14decf2e1f83ce3d7b3bc9900a29ed89cc722332a43a369472b176	boltz2_2.2.1_single_sequence	20260919	20260921	17.785834809893064	0		Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_06a47ea8fb14decf2e1f83ce3d7b3bc9900a29ed89cc722332a43a369472b176	boltz2_2.2.1_single_sequence	20260920	20260921	17.772693166646818	1		Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_17d111deb4d6dc3037080cfa51b4f13d1b3e22d45fa78ccc97a0cca4c2afed7e	boltz2_2.2.1_single_sequence	20260919	20260920	6.480863202125284	1		Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_17d111deb4d6dc3037080cfa51b4f13d1b3e22d45fa78ccc97a0cca4c2afed7e	boltz2_2.2.1_single_sequence	20260919	20260921	12.025297543376988	2		Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_17d111deb4d6dc3037080cfa51b4f13d1b3e22d45fa78ccc97a0cca4c2afed7e	boltz2_2.2.1_single_sequence	20260920	20260921	12.962387565151277	1		Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df	boltz2_2.2.1_single_sequence	20260919	20260920	2.1026016447532925	29	0.754984030944466	Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df	boltz2_2.2.1_single_sequence	20260919	20260921	2.3298531055340264	29	0.7153863256726722	Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df	boltz2_2.2.1_single_sequence	20260920	20260921	1.33820126676688	29	0.7278450375706583	Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc	boltz2_2.2.1_single_sequence	20260919	20260920	3.7307339433350464	30	0.5637537615011414	Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc	boltz2_2.2.1_single_sequence	20260919	20260921	1.008808435486819	40	0.3896102506898839	Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc	boltz2_2.2.1_single_sequence	20260920	20260921	3.8043703993487012	30	0.5556663263485622	Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_2fd568c243ae5fc146a0c3231fbaef7e40cf01dbf9a2cc5cea6ca2f10c9a8f54	boltz2_2.2.1_single_sequence	20260919	20260920	24.290901418928627	0		Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_2fd568c243ae5fc146a0c3231fbaef7e40cf01dbf9a2cc5cea6ca2f10c9a8f54	boltz2_2.2.1_single_sequence	20260919	20260921	23.27428909808606	0		Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_2fd568c243ae5fc146a0c3231fbaef7e40cf01dbf9a2cc5cea6ca2f10c9a8f54	boltz2_2.2.1_single_sequence	20260920	20260921	21.782410434773436	0		Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_7a9f6f4887bd814b003cf10313fd2533c1efedd27d7e63a1d4f1508167c28ace	boltz2_2.2.1_single_sequence	20260919	20260920	2.1258470214010843	37	1.2722175916697664	Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_7a9f6f4887bd814b003cf10313fd2533c1efedd27d7e63a1d4f1508167c28ace	boltz2_2.2.1_single_sequence	20260919	20260921	1.7500436402873292	36	1.052324807212301	Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
peptide_7a9f6f4887bd814b003cf10313fd2533c1efedd27d7e63a1d4f1508167c28ace	boltz2_2.2.1_single_sequence	20260920	20260921	2.4846400985918655	36	1.361212069221083	Prediction-seed robustness, not an experimental ensemble or thermodynamic stability.
