peptide_id	sequence_sha256	role	sequence_audit_passed	calibration	deep_dive	selection_cohort	orf_assumptions	pair_ids	length_aa	f_idr	selection_reason	population_estimation
peptide_00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	00fb8657255fb894315401cecb9ab9e3047ef7b3d1f0d35d357663269780201c	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Snrpd3:Ankrd40	47	0.0	all_conditional_consensus	False
peptide_101700281cde078bee94b7382d6e603a4babf7b2c6c73ebf43d4a469d59c79f5	101700281cde078bee94b7382d6e603a4babf7b2c6c73ebf43d4a469d59c79f5	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Ehd1:B2m	159	0.050314465408805	all_conditional_consensus	False
peptide_17d111deb4d6dc3037080cfa51b4f13d1b3e22d45fa78ccc97a0cca4c2afed7e	17d111deb4d6dc3037080cfa51b4f13d1b3e22d45fa78ccc97a0cca4c2afed7e	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Chchd3:1810058I24Rik	164	0.5975609756097561	all_conditional_consensus	False
peptide_1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df	1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df	sensitivity	True	True	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Mtpn:Rab9	32	0.0	all_conditional_consensus	False
peptide_1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc	1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc	sensitivity	True	True	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Vrk2:Gm20717	81	0.1234567901234567	all_conditional_consensus	False
peptide_2f5ccec75975e3c6f577920bce8d2353c43c2083ced5a445cd4306874aa49f96	2f5ccec75975e3c6f577920bce8d2353c43c2083ced5a445cd4306874aa49f96	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Rab8b:Ythdf3	44	0.0	all_conditional_consensus	False
peptide_3538354085b81ef36c100a2816d54993d184f50f51149beb3c72110afb62890b	3538354085b81ef36c100a2816d54993d184f50f51149beb3c72110afb62890b	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Wdyhv1:Prdx1	39	0.4102564102564102	all_conditional_consensus	False
peptide_3868fed335582b3a056d423efc2dbae9dfa7c7350d3572a0f67798065f307d53	3868fed335582b3a056d423efc2dbae9dfa7c7350d3572a0f67798065f307d53	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Tmem63a:Aim2	99	0.4141414141414141	all_conditional_consensus	False
peptide_3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	3efb26690c36c414062c23d0c47a34fbb57d8f10f8edf672769c2cddb8218cfa	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Abcc5:Oas1a	207	0.217391304347826	all_conditional_consensus	False
peptide_5e0a55ceea7aa5596a1130b2f7a693b8a52acf6bf2ac12e69951ade5c9fb2d52	5e0a55ceea7aa5596a1130b2f7a693b8a52acf6bf2ac12e69951ade5c9fb2d52	sensitivity	True	False	False	conditional_consensus	Public GENCODE M28 annotated donor start and exon-prefix/suffix across exact probe junction; full fusion exon chain and translation unobserved.	Nfkb1:Cisd2	118	1.0	all_conditional_consensus	False
