job_id	peptide_id	protocol_id	seed	junction_coding_nt	split_junction_codon	junction_window_start_1based	junction_window_end_1based	junction_mean_plddt	junction_fraction_plddt_ge70	cross_junction_pae_mean_A	orf_ids	pair_ids
protein_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa_precomputed_seed20260919	peptide_f0766d124b52f0061597ce4e822e9275a04152df574f9a512631a0fa6ed8a2fa	boltz2_2.2.1_precomputed	20260919	220	True	59	89	51.7443962097168	0.0	15.795093536376953	orf_54cd746fdd6c2d7ad1722acf8a131da0e13c3c575c6797456cc45d7b281e933b;orf_56a2b7cf0a8d8f48ac7bc0e88cb0837b45d343eb61ee2ae177f6d32daedc231e;orf_72aa4aa9c7dc2940458fed952a5c2fe8c582d5fc93f955e8d1694feb835abdfb;orf_793102b0f2fa96e0aea1c967efe71293a8dc59a9a8ec2bc3018c1221696ab570;orf_79b936c73f20a7520dfd9238b31ebd33ee54a0bd0166019a540dcb9ffe53d30d;orf_83ccc490a3f531d466e63ae4d0a9bbb22188d685cb62240d2535eb5e89646d66;orf_cd742926d553caf089c8ac933bf8bbdd7ca88ff1bf0562327bd16d8be4112418;orf_e5993add2e0661cc2e675829b5bd0cb897102ee31f6141d212fd9ca8e6a79426	Gsdmd:Tmem106a
protein_1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df_single_sequence_seed20260919	peptide_1bce31ef49449220635ddadc203907308fc7f2ec67e7d48732292471c9bbe3df	boltz2_2.2.1_single_sequence	20260919	72	False	10	32	88.13123321533203	0.9565217391304348	3.874844789505005	orf_05861232c740589364e865dd3e53c279021f0d94384fd3d25799fd1124e6999d;orf_e05808312495bbaa2ebbd722e5aa9883fd40151150762ab5f1240c625f1210b1	Mtpn:Rab9
protein_1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc_single_sequence_seed20260919	peptide_1e8bc65243a9facc8e4feddf58cbbe693b2477dfe7a89be4bd6f1930464904dc	boltz2_2.2.1_single_sequence	20260919	186	False	48	77	67.55040740966797	0.43333333333333335	11.647944450378418	orf_13ddca2f1382dbb743b5d594a829c338c0f864a569bc63609037a11415649533;orf_1b4ccf6df695497ef67605fdd28db04770432f10fbac6ddb1499ab7654133b32;orf_2061de57c349c29f4aad9f226dd3900897b096eb6cf7869d5449e1b8ed2f286a;orf_73589651e47d322b163727a4f75aa37918549ba174fb6652b8fe72c28bec58cd;orf_7c43a106ef5d91d762d1276291ea1bec7d2d647636ec3bc780c7ec94ce64c549;orf_fd60fabb89206bc43fa4d82668d0d6d0e1c980fda22dec585ab5a8c51422c5f7	Vrk2:Gm20717
protein_6de3b695e6fb7625fb0b645afd1d9dbcedf1ea280f2faf93d7ebafbd589a09ef_single_sequence_seed20260919	peptide_6de3b695e6fb7625fb0b645afd1d9dbcedf1ea280f2faf93d7ebafbd589a09ef	boltz2_2.2.1_single_sequence	20260919	459	False	139	168	44.44175720214844	0.0	12.86352252960205	orf_230c7541f7a20b2093014d971aea327d36badb11bdc2d508ad3b01578fba904c;orf_35f7615e4b680ad8d9e7bdf750fdddfc133fb6d5b823c599cf731066b08d9fec;orf_4c493765e8d9cf05c29688db78d81466f36da3c3f540e4d0a90b7a37d0af2ca5;orf_a51535da1591977ea978666a0c979e67c439241de998b3523ecaba52b6949c57	Sppl2a:Psma3
protein_7c620433a33c479bd09812150c15d2e0accd796c3cd40b057543080302fe009b_single_sequence_seed20260919	peptide_7c620433a33c479bd09812150c15d2e0accd796c3cd40b057543080302fe009b	boltz2_2.2.1_single_sequence	20260919	133	True	30	46	72.9944076538086	0.5294117647058824	11.570271492004395	orf_3c29d551f55dbafcb631a71071b9c66d54b33c9172454adac569d549df80cc27;orf_5db57966829e41166fc52b9052035fe2d9edddf5ec48700f578370f6982d3ce5	Pacc1:Atf3
protein_91b6c2354036f74992cb5f2520a3614bb2b0ecc3feab662dbb7e791accc4b3b7_single_sequence_seed20260919	peptide_91b6c2354036f74992cb5f2520a3614bb2b0ecc3feab662dbb7e791accc4b3b7	boltz2_2.2.1_single_sequence	20260919	503	True	153	183	27.857933044433594	0.0	20.773710250854492	orf_0feebd9110d62dcb7ae53f45528a36b6b4e60ae4a3772ff28d5150830b524569;orf_b3306428fe19f2706619ae373f49abf34e764fd0e2aa8c8a52ac60494f877655;orf_eb5039aca1db517ab587ac74edfa9b24f8fd229517778fecc67e3b8bd9d5f303;orf_f882d091c0853a1d5b24425b7772e074c4ba597521aa8613066f43673c6e2179	St8sia4:Fam174a
protein_9a99577ea77e93a51bb896132001fac6caa242ee517a62995ddef9d39a72f54a_single_sequence_seed20260919	peptide_9a99577ea77e93a51bb896132001fac6caa242ee517a62995ddef9d39a72f54a	boltz2_2.2.1_single_sequence	20260919	1571	True	509	539	60.6666259765625	0.3548387096774194	13.871492385864258	orf_617890ad648090aa7312b0cbf508cca51ffb7a0f884c82289638b4f1ffddc16b;orf_7862e92e75db52a4433a6d38288170b927d575037839ab43c7a531c2f47d863b;orf_c7a650779281b96c7cd6fe05237d5f3ebb365a761e590215281aff0ea7f5edfe;orf_eda3c90d4d3cab41ec300db46e56ea98b553f2e6333ca5065c24c9ed66747794	Gpnmb:Arf2
protein_ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75_single_sequence_seed20260919	peptide_ca2772f82b0e861861636ddd31697e08475ddd2b2f93467e300b85d3aa0b3c75	boltz2_2.2.1_single_sequence	20260919	7473	False	2477	2498	72.85717010498047	0.7727272727272727	5.880773544311523	orf_034aa13d9a76aaa87fdc513d0c67895461c32502f19752a8af0d6e402f19512d;orf_46ef1e1f67ea5b5d82d695356fafb903d6015fb05e67f11452f3511c06c8d34c;orf_686b2f69db3ad21c8debc6e9b903c4bb93f2b5bf1c375b3f0f6df2ced3339a75;orf_96ed544db7c396936cde21463e1983b63649506b950bd89cf488c1cae81933f0	Utrn:Pex7
protein_dba94fe4564b656dcb4c88ed9c0af05dfe78a7d6ea0ef18b1c71b29fe58fa0d9_single_sequence_seed20260919	peptide_dba94fe4564b656dcb4c88ed9c0af05dfe78a7d6ea0ef18b1c71b29fe58fa0d9	boltz2_2.2.1_single_sequence	20260919	234	False	64	93	51.24663162231445	0.23333333333333334	16.74542808532715	orf_6709581ea595bf7bd3d3300ed5716539003ecb7ae0f1f0f78953906e680ea91d;orf_f53cc5fb9acdd00a38804c39af1f840e97e8ccd6808a89b993563a9718e4c9a5;orf_fdc241ba9fad2dae5ceb4956d19962df9769e5ae9bfe1aedc0af36b086abe21b	Nsdhl:Ahnak
protein_e5af13d33e889258c3c023a666c476f620d82348973f983e518b9779866522d1_single_sequence_seed20260919	peptide_e5af13d33e889258c3c023a666c476f620d82348973f983e518b9779866522d1	boltz2_2.2.1_single_sequence	20260919	58	True	5	35	71.59173583984375	0.6774193548387096	5.703065395355225	orf_4608ea56dcf90863ba7a574f463c9ffb6abe595f384fe1d4f9272740443b28ed	Mertk:Laptm4a
