protein_id	pair	arm	gene	gene_id	transcript_id	chromosome	strand	exon_id	exon_number	exon_start_1	exon_end_1	coding_nt_start_1	coding_nt_end_1	coding_bases	aa_start_1	aa_end_1	source_row	source_line
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000170617.8	chr17	-	ENSMUSE00001220903.2	2	32606547	32606791	1	187	187	1	63	1630046	"chr17	HAVANA	exon	32606547	32606791	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000170617.8""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""nonsense_mediated_decay""; transcript_name ""Wiz-210""; exon_number 2; exon_id ""ENSMUSE00001220903.2""; level 2; protein_id ""ENSMUSP00000130517.2""; transcript_support_level ""5""; mgi_id ""MGI:1332638""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089752.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000170617.8	chr17	-	ENSMUSE00001307802.2	7	32586798	32587121	188	511	324	63	171	1630055	"chr17	HAVANA	exon	32586798	32587121	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000170617.8""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""nonsense_mediated_decay""; transcript_name ""Wiz-210""; exon_number 7; exon_id ""ENSMUSE00001307802.2""; level 2; protein_id ""ENSMUSP00000130517.2""; transcript_support_level ""5""; mgi_id ""MGI:1332638""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089752.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000087703.12	chr17	-	ENSMUSE00001220903.2	2	32606547	32606791	1	187	187	1	63	1630077	"chr17	HAVANA	exon	32606547	32606791	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000087703.12""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""protein_coding""; transcript_name ""Wiz-203""; exon_number 2; exon_id ""ENSMUSE00001220903.2""; level 2; protein_id ""ENSMUSP00000084993.6""; transcript_support_level ""1""; mgi_id ""MGI:1332638""; tag ""NAGNAG_splice_site""; tag ""basic""; tag ""CCDS""; ccdsid ""CCDS28616.1""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089748.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000087703.12	chr17	-	ENSMUSE00001265722.2	3	32586798	32587121	188	511	324	63	171	1630080	"chr17	HAVANA	exon	32586798	32587121	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000087703.12""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""protein_coding""; transcript_name ""Wiz-203""; exon_number 3; exon_id ""ENSMUSE00001265722.2""; level 2; protein_id ""ENSMUSP00000084993.6""; transcript_support_level ""1""; mgi_id ""MGI:1332638""; tag ""NAGNAG_splice_site""; tag ""basic""; tag ""CCDS""; ccdsid ""CCDS28616.1""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089748.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000163107.9	chr17	-	ENSMUSE00001220903.2	2	32606547	32606791	1	187	187	1	63	1630100	"chr17	HAVANA	exon	32606547	32606791	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000163107.9""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""nonsense_mediated_decay""; transcript_name ""Wiz-204""; exon_number 2; exon_id ""ENSMUSE00001220903.2""; level 2; protein_id ""ENSMUSP00000127943.2""; transcript_support_level ""1""; mgi_id ""MGI:1332638""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089750.2"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000163107.9	chr17	-	ENSMUSE00001301530.2	4	32586798	32587121	188	511	324	63	171	1630105	"chr17	HAVANA	exon	32586798	32587121	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000163107.9""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""nonsense_mediated_decay""; transcript_name ""Wiz-204""; exon_number 4; exon_id ""ENSMUSE00001301530.2""; level 2; protein_id ""ENSMUSP00000127943.2""; transcript_support_level ""1""; mgi_id ""MGI:1332638""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000089750.2"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000064694.14	chr17	-	ENSMUSE00000896636.2	1	32606547	32606733	1	187	187	1	63	1630149	"chr17	HAVANA	exon	32606547	32606733	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000064694.14""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""protein_coding""; transcript_name ""Wiz-201""; exon_number 1; exon_id ""ENSMUSE00000896636.2""; level 2; protein_id ""ENSMUSP00000069443.8""; transcript_support_level ""1""; mgi_id ""MGI:1332638""; tag ""basic""; tag ""CCDS""; ccdsid ""CCDS28617.2""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000091770.2"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000064694.14	chr17	-	ENSMUSE00001265722.2	2	32586798	32587121	188	511	324	63	171	1630152	"chr17	HAVANA	exon	32586798	32587121	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000064694.14""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""protein_coding""; transcript_name ""Wiz-201""; exon_number 2; exon_id ""ENSMUSE00001265722.2""; level 2; protein_id ""ENSMUSP00000069443.8""; transcript_support_level ""1""; mgi_id ""MGI:1332638""; tag ""basic""; tag ""CCDS""; ccdsid ""CCDS28617.2""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000091770.2"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000236409.2	chr17	-	ENSMUSE00000896636.2	1	32606547	32606733	1	187	187	1	63	1630169	"chr17	HAVANA	exon	32606547	32606733	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000236409.2""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""protein_coding""; transcript_name ""Wiz-213""; exon_number 1; exon_id ""ENSMUSE00000896636.2""; level 2; protein_id ""ENSMUSP00000158082.2""; mgi_id ""MGI:1332638""; tag ""inferred_exon_combination""; tag ""basic""; tag ""appris_principal_1""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000177733.1"";"
protein_ab0acc0f95e51a7894c0c41ef7081728b8aa1ad064443d42f81776ea20c77194	Wiz → Cmtm3	left	Wiz	ENSMUSG00000024050.19	ENSMUST00000236409.2	chr17	-	ENSMUSE00001265722.2	5	32586798	32587121	188	511	324	63	171	1630178	"chr17	HAVANA	exon	32586798	32587121	.	-	.	gene_id ""ENSMUSG00000024050.19""; transcript_id ""ENSMUST00000236409.2""; gene_type ""protein_coding""; gene_name ""Wiz""; transcript_type ""protein_coding""; transcript_name ""Wiz-213""; exon_number 5; exon_id ""ENSMUSE00001265722.2""; level 2; protein_id ""ENSMUSP00000158082.2""; mgi_id ""MGI:1332638""; tag ""inferred_exon_combination""; tag ""basic""; tag ""appris_principal_1""; havana_gene ""OTTMUSG00000035221.7""; havana_transcript ""OTTMUST00000177733.1"";"
