pair_id	evidence_tier	reported_nanostring_support	probe_ids	annotated_transcript_combinations	excluded_combinations	complete_crossing_orf_hypotheses	unique_peptide_hypotheses	conditional_annotated_start_peptides	conditional_consensus	strict_primary_eligible	audit_status	full_chain_status	published_junction_records	published_pair_read_ids	read_junction_link_status	assay_qc_status	translation_evidence_status
Abcc5:Oas1a	NanoString_only	True	Abcc5:Oas1a	5	1	16	4	1	True	False	excluded_transcript_combinations;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	8848cd6e-293b-45c7-8ae4-c0f944244bfa	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Acod1:Cd86	NanoString_only	True	Acod1:Cd86	1	0	6	6	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	936bb043-251d-4f50-9ddf-e0a9c96f0427	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Acp2:Renbp	NanoString_only	True	Acp2:Renbp	30	14	72	11	2	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	51c19d4c-8e34-4afc-b280-a78921e4eff8	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Acsl4:Tmem164	both	True	Acsl4:Tmem164	18	3	0	0	0	False	False	excluded_transcript_combinations;no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	35fdd583-c5b3-4f6a-8ea8-940084059695	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Aoah:Blcap	NanoString_only	True	Aoah:Blcap	8	0	40	5	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	8e540763-c1c2-48c7-a321-8add0d0d666d	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Aoah:Sirt5	both	True	Aoah:Sirt5_2	4	0	20	5	1	True	False	observed_full_exon_chain_unavailable	not_established_from_available_sources	1	402f3aaa-d4bb-4a89-ae31-6f9d0900e671;efc9f615-26ba-4f4a-8c92-ad4e9c4a4012	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Aopep:Akr1e1	both	True	Aopep:Akr1e1	33	3	150	64	4	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	f7177d32-13a7-4aea-b2f5-c530d1c0108c	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Asph:Rab2a	both	True	Asph:Rab2a	17	1	28	5	5	False	False	excluded_transcript_combinations;reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	074e9f89-713c-4264-be07-3df535cb2258	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Atp6v0a1:Akr1a1	NanoString_only	True	Atp6v0a1:Akr1a1	21	0	28	4	2	False	False	reference_isoform_or_start_ambiguity;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	5f2a4ed1-eb69-42d9-ad64-e31ec6f9f1de	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
Bbx:Ntan1	NanoString_only	True	Bbx:Ntan1	40	16	0	0	0	False	False	excluded_transcript_combinations;no_complete_crossing_ORF_at_annotated_donor_start;observed_full_exon_chain_unavailable	not_established_from_available_sources	1	6294d6d3-330b-41df-a9db-3ee385c6c767	pair_only_source_coordinate_convention_unresolved	unknown	requires_separate_candidate_specific_audit
